bitrate_kbits,codec,fps,height,video,width,src,Q,resolution
97.3125,av1,30.0,360,air_acrobatics_harmonic_0_cropped_8s_100k_360_av1,640.0,air_acrobatics_harmonic_0_cropped_8s,3.276886458561448,230400.0
8512.2763671875,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_11000k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.885504843137857,2073600.0
6688.1640625,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_11000k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.728033606892634,921600.0
1100.6123046875,av1,30.0,576,air_acrobatics_harmonic_0_cropped_8s_1300k_576_av1,1024.0,air_acrobatics_harmonic_0_cropped_8s,4.510804893008133,589824.0
977.2685546875,av1,30.0,360,air_acrobatics_harmonic_0_cropped_8s_1400k_360_av1,640.0,air_acrobatics_harmonic_0_cropped_8s,3.989796844595245,230400.0
11253.904296875,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_16000k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.892285830299697,2073600.0
1588.44140625,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_1750k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.674592356531724,921600.0
1306.3935546875,av1,30.0,480,air_acrobatics_harmonic_0_cropped_8s_1800k_480_av1,854.0,air_acrobatics_harmonic_0_cropped_8s,4.3667077403608285,409920.0
183.4560546875,av1,30.0,360,air_acrobatics_harmonic_0_cropped_8s_200k_360_av1,640.0,air_acrobatics_harmonic_0_cropped_8s,3.613553572272829,230400.0
188.1953125,av1,30.0,480,air_acrobatics_harmonic_0_cropped_8s_200k_480_av1,854.0,air_acrobatics_harmonic_0_cropped_8s,3.906277098761732,409920.0
1810.1728515625,av1,30.0,576,air_acrobatics_harmonic_0_cropped_8s_2600k_576_av1,1024.0,air_acrobatics_harmonic_0_cropped_8s,4.549978757933987,589824.0
2351.787109375,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_2750k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.837480243225688,2073600.0
2072.9501953125,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_2750k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.697229836353424,921600.0
269.9873046875,av1,30.0,480,air_acrobatics_harmonic_0_cropped_8s_300k_480_av1,854.0,air_acrobatics_harmonic_0_cropped_8s,4.0655167929478,409920.0
274.6611328125,av1,30.0,576,air_acrobatics_harmonic_0_cropped_8s_300k_576_av1,1024.0,air_acrobatics_harmonic_0_cropped_8s,4.217384308044924,589824.0
2372.427734375,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_3500k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.705538275591106,921600.0
298.568359375,av1,30.0,360,air_acrobatics_harmonic_0_cropped_8s_350k_360_av1,640.0,air_acrobatics_harmonic_0_cropped_8s,3.7968816180157847,230400.0
3370.1171875,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_4000k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.858273617736049,2073600.0
354.669921875,av1,30.0,576,air_acrobatics_harmonic_0_cropped_8s_400k_576_av1,1024.0,air_acrobatics_harmonic_0_cropped_8s,4.310108221065001,589824.0
363.142578125,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_400k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.43720960514845,921600.0
384.98828125,av1,30.0,480,air_acrobatics_harmonic_0_cropped_8s_450k_480_av1,854.0,air_acrobatics_harmonic_0_cropped_8s,4.188247565953158,409920.0
458.1025390625,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_500k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.616757198439384,2073600.0
442.09765625,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_500k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.495569137067944,921600.0
4419.8017578125,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_5500k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.868942645629214,2073600.0
3746.0009765625,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_5500k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.715444936404034,921600.0
546.841796875,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_600k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.66039885291948,2073600.0
555.0849609375,av1,30.0,576,air_acrobatics_harmonic_0_cropped_8s_650k_576_av1,1024.0,air_acrobatics_harmonic_0_cropped_8s,4.420432590126359,589824.0
5003.287109375,av1,30.0,720,air_acrobatics_harmonic_0_cropped_8s_7000k_720_av1,1280.0,air_acrobatics_harmonic_0_cropped_8s,4.721138286676105,921600.0
542.109375,av1,30.0,360,air_acrobatics_harmonic_0_cropped_8s_700k_360_av1,640.0,air_acrobatics_harmonic_0_cropped_8s,3.9265499275087365,230400.0
6261.751953125,av1,30.0,1080,air_acrobatics_harmonic_0_cropped_8s_8000k_1080_av1,1920.0,air_acrobatics_harmonic_0_cropped_8s,4.87924024519135,2073600.0
740.3212890625,av1,30.0,480,air_acrobatics_harmonic_0_cropped_8s_900k_480_av1,854.0,air_acrobatics_harmonic_0_cropped_8s,4.309866009258032,409920.0
133.0009765625,av1,30.0,360,american_football_harmonic_8s_100k_360_av1,640.0,american_football_harmonic_8s,2.072829288330783,230400.0
10161.685546875,av1,30.0,1080,american_football_harmonic_8s_11000k_1080_av1,1920.0,american_football_harmonic_8s,4.994684328755078,2073600.0
8367.373046875,av1,30.0,720,american_football_harmonic_8s_11000k_720_av1,1280.0,american_football_harmonic_8s,4.908400709031357,921600.0
1494.3916015625,av1,30.0,576,american_football_harmonic_8s_1300k_576_av1,1024.0,american_football_harmonic_8s,4.151798118898034,589824.0
1291.8974609375,av1,30.0,360,american_football_harmonic_8s_1400k_360_av1,640.0,american_football_harmonic_8s,3.8598783684789555,230400.0
13347.759765625,av1,30.0,1080,american_football_harmonic_8s_16000k_1080_av1,1920.0,american_football_harmonic_8s,4.998334181559094,2073600.0
2054.8515625,av1,30.0,720,american_football_harmonic_8s_1750k_720_av1,1280.0,american_football_harmonic_8s,4.4051497762353335,921600.0
1790.7451171875,av1,30.0,480,american_football_harmonic_8s_1800k_480_av1,854.0,american_football_harmonic_8s,4.227979262769017,409920.0
233.697265625,av1,30.0,360,american_football_harmonic_8s_200k_360_av1,640.0,american_football_harmonic_8s,2.5022404780464123,230400.0
250.0595703125,av1,30.0,480,american_football_harmonic_8s_200k_480_av1,854.0,american_football_harmonic_8s,2.6295623747443058,409920.0
2583.66796875,av1,30.0,576,american_football_harmonic_8s_2600k_576_av1,1024.0,american_football_harmonic_8s,4.506475304549072,589824.0
3205.48828125,av1,30.0,1080,american_football_harmonic_8s_2750k_1080_av1,1920.0,american_football_harmonic_8s,4.693464155075999,2073600.0
2952.9609375,av1,30.0,720,american_football_harmonic_8s_2750k_720_av1,1280.0,american_football_harmonic_8s,4.621732172633803,921600.0
359.3037109375,av1,30.0,480,american_football_harmonic_8s_300k_480_av1,854.0,american_football_harmonic_8s,2.9328682758623037,409920.0
367.0634765625,av1,30.0,576,american_football_harmonic_8s_300k_576_av1,1024.0,american_football_harmonic_8s,2.997868822095316,589824.0
3574.58203125,av1,30.0,720,american_football_harmonic_8s_3500k_720_av1,1280.0,american_football_harmonic_8s,4.706487491358253,921600.0
403.4404296875,av1,30.0,360,american_football_harmonic_8s_350k_360_av1,640.0,american_football_harmonic_8s,2.953697996204723,230400.0
4449.4599609375,av1,30.0,1080,american_football_harmonic_8s_4000k_1080_av1,1920.0,american_football_harmonic_8s,4.833188565043969,2073600.0
482.2392578125,av1,30.0,576,american_football_harmonic_8s_400k_576_av1,1024.0,american_football_harmonic_8s,3.2315453908245066,589824.0
491.0595703125,av1,30.0,720,american_football_harmonic_8s_400k_720_av1,1280.0,american_football_harmonic_8s,3.278400983210391,921600.0
534.6494140625,av1,30.0,480,american_football_harmonic_8s_450k_480_av1,854.0,american_football_harmonic_8s,3.2719541235146967,409920.0
632.0009765625,av1,30.0,1080,american_football_harmonic_8s_500k_1080_av1,1920.0,american_football_harmonic_8s,3.49534050306219,2073600.0
609.3623046875,av1,30.0,720,american_football_harmonic_8s_500k_720_av1,1280.0,american_football_harmonic_8s,3.4605472209895702,921600.0
5866.05859375,av1,30.0,1080,american_football_harmonic_8s_5500k_1080_av1,1920.0,american_football_harmonic_8s,4.910797625755606,2073600.0
5108.9267578125,av1,30.0,720,american_football_harmonic_8s_5500k_720_av1,1280.0,american_football_harmonic_8s,4.81854271581072,921600.0
745.1728515625,av1,30.0,1080,american_football_harmonic_8s_600k_1080_av1,1920.0,american_football_harmonic_8s,3.6393861885316543,2073600.0
786.958984375,av1,30.0,576,american_football_harmonic_8s_650k_576_av1,1024.0,american_football_harmonic_8s,3.655372273202557,589824.0
6070.720703125,av1,30.0,720,american_football_harmonic_8s_7000k_720_av1,1280.0,american_football_harmonic_8s,4.856106066050501,921600.0
734.1220703125,av1,30.0,360,american_football_harmonic_8s_700k_360_av1,640.0,american_football_harmonic_8s,3.456281727738653,230400.0
7940.2353515625,av1,30.0,1080,american_football_harmonic_8s_8000k_1080_av1,1920.0,american_football_harmonic_8s,4.966978004046501,2073600.0
1018.2392578125,av1,30.0,480,american_football_harmonic_8s_900k_480_av1,854.0,american_football_harmonic_8s,3.812302251357407,409920.0
110.6826171875,av1,30.0,360,bigbuck_bunny_8bit_100k_360_av1,640.0,bigbuck_bunny_8bit,2.7080662478674427,230400.0
7224.8505859375,av1,30.0,1080,bigbuck_bunny_8bit_11000k_1080_av1,1920.0,bigbuck_bunny_8bit,4.905684312071175,2073600.0
4476.4677734375,av1,30.0,720,bigbuck_bunny_8bit_11000k_720_av1,1280.0,bigbuck_bunny_8bit,4.741109652660433,921600.0
