input_file,si,ti,n
Dancers_8s.mkv,10.43,0.0,1
Dancers_8s.mkv,10.46,3.64,2
Dancers_8s.mkv,10.43,3.649,3
Dancers_8s.mkv,10.418,3.657,4
Dancers_8s.mkv,10.418,3.664,5
Dancers_8s.mkv,10.428,3.658,6
Dancers_8s.mkv,10.41,3.654,7
Dancers_8s.mkv,10.407,3.661,8
Dancers_8s.mkv,10.422,3.656,9
Dancers_8s.mkv,10.418,3.656,10
Dancers_8s.mkv,10.422,3.648,11
Dancers_8s.mkv,10.421,3.637,12
Dancers_8s.mkv,10.41,3.645,13
Dancers_8s.mkv,10.384,3.665,14
Dancers_8s.mkv,10.407,3.671,15
Dancers_8s.mkv,10.423,3.663,16
Dancers_8s.mkv,10.419,3.663,17
Dancers_8s.mkv,10.409,3.664,18
Dancers_8s.mkv,10.403,3.66,19
Dancers_8s.mkv,10.424,3.66,20
Dancers_8s.mkv,10.392,3.659,21
Dancers_8s.mkv,10.399,3.665,22
Dancers_8s.mkv,10.407,3.665,23
Dancers_8s.mkv,10.41,3.647,24
Dancers_8s.mkv,10.405,3.659,25
Dancers_8s.mkv,10.428,3.672,26
Dancers_8s.mkv,10.422,3.65,27
Dancers_8s.mkv,10.423,3.641,28
Dancers_8s.mkv,10.444,3.635,29
Dancers_8s.mkv,10.42,3.633,30
Dancers_8s.mkv,10.439,3.645,31
Dancers_8s.mkv,10.438,3.654,32
Dancers_8s.mkv,10.425,3.649,33
Dancers_8s.mkv,10.437,3.644,34
Dancers_8s.mkv,10.438,3.649,35
Dancers_8s.mkv,10.423,3.662,36
Dancers_8s.mkv,10.434,3.659,37
Dancers_8s.mkv,10.426,3.647,38
Dancers_8s.mkv,10.431,3.644,39
Dancers_8s.mkv,10.445,3.651,40
Dancers_8s.mkv,10.439,3.659,41
Dancers_8s.mkv,10.434,3.66,42
Dancers_8s.mkv,10.425,3.66,43
Dancers_8s.mkv,10.427,3.667,44
Dancers_8s.mkv,10.412,3.661,45
Dancers_8s.mkv,10.405,3.661,46
Dancers_8s.mkv,10.44,3.666,47
Dancers_8s.mkv,10.429,3.667,48
Dancers_8s.mkv,10.443,3.667,49
Dancers_8s.mkv,10.444,3.664,50
Dancers_8s.mkv,10.438,3.671,51
Dancers_8s.mkv,10.464,3.671,52
Dancers_8s.mkv,10.445,3.683,53
Dancers_8s.mkv,10.44,3.707,54
Dancers_8s.mkv,10.405,3.729,55
Dancers_8s.mkv,10.435,3.748,56
Dancers_8s.mkv,10.438,3.758,57
Dancers_8s.mkv,10.444,3.765,58
Dancers_8s.mkv,10.422,3.769,59
Dancers_8s.mkv,10.452,3.778,60
Dancers_8s.mkv,10.448,3.792,61
Dancers_8s.mkv,10.444,3.807,62
Dancers_8s.mkv,10.44,3.822,63
Dancers_8s.mkv,10.443,3.842,64
Dancers_8s.mkv,10.433,3.864,65
Dancers_8s.mkv,10.465,3.877,66
Dancers_8s.mkv,10.456,3.899,67
Dancers_8s.mkv,10.481,3.941,68
Dancers_8s.mkv,10.485,3.995,69
Dancers_8s.mkv,10.492,4.032,70
Dancers_8s.mkv,10.519,4.093,71
Dancers_8s.mkv,10.533,4.192,72
Dancers_8s.mkv,10.578,4.238,73
Dancers_8s.mkv,10.586,4.266,74
Dancers_8s.mkv,10.622,4.319,75
Dancers_8s.mkv,10.626,4.371,76
Dancers_8s.mkv,10.645,4.403,77
Dancers_8s.mkv,10.634,4.45,78
Dancers_8s.mkv,10.652,4.5,79
Dancers_8s.mkv,10.685,4.533,80
Dancers_8s.mkv,10.675,4.567,81
Dancers_8s.mkv,10.699,4.595,82
Dancers_8s.mkv,10.727,4.625,83
Dancers_8s.mkv,10.732,4.661,84
Dancers_8s.mkv,10.754,4.685,85
Dancers_8s.mkv,10.76,4.741,86
