input_file,si,ti,n
Daydreamer_SDR_8s_3840x2160_8.mkv,15.146,0.0,1
Daydreamer_SDR_8s_3840x2160_8.mkv,15.14,6.263,2
Daydreamer_SDR_8s_3840x2160_8.mkv,15.226,6.177,3
Daydreamer_SDR_8s_3840x2160_8.mkv,15.46,5.894,4
Daydreamer_SDR_8s_3840x2160_8.mkv,15.462,5.643,5
Daydreamer_SDR_8s_3840x2160_8.mkv,15.374,5.798,6
Daydreamer_SDR_8s_3840x2160_8.mkv,15.3,6.009,7
Daydreamer_SDR_8s_3840x2160_8.mkv,15.266,6.13,8
Daydreamer_SDR_8s_3840x2160_8.mkv,15.285,6.127,9
Daydreamer_SDR_8s_3840x2160_8.mkv,15.3,6.096,10
Daydreamer_SDR_8s_3840x2160_8.mkv,15.216,6.17,11
Daydreamer_SDR_8s_3840x2160_8.mkv,15.074,6.329,12
Daydreamer_SDR_8s_3840x2160_8.mkv,15.02,6.494,13
Daydreamer_SDR_8s_3840x2160_8.mkv,14.982,6.573,14
Daydreamer_SDR_8s_3840x2160_8.mkv,14.945,6.591,15
Daydreamer_SDR_8s_3840x2160_8.mkv,15.002,6.566,16
Daydreamer_SDR_8s_3840x2160_8.mkv,15.092,6.447,17
Daydreamer_SDR_8s_3840x2160_8.mkv,15.23,6.286,18
Daydreamer_SDR_8s_3840x2160_8.mkv,15.391,6.043,19
Daydreamer_SDR_8s_3840x2160_8.mkv,15.461,5.788,20
Daydreamer_SDR_8s_3840x2160_8.mkv,15.432,5.767,21
Daydreamer_SDR_8s_3840x2160_8.mkv,15.422,5.857,22
Daydreamer_SDR_8s_3840x2160_8.mkv,15.394,5.958,23
Daydreamer_SDR_8s_3840x2160_8.mkv,15.326,6.017,24
Daydreamer_SDR_8s_3840x2160_8.mkv,15.32,6.072,25
Daydreamer_SDR_8s_3840x2160_8.mkv,15.268,6.091,26
Daydreamer_SDR_8s_3840x2160_8.mkv,15.154,6.186,27
Daydreamer_SDR_8s_3840x2160_8.mkv,15.08,6.305,28
Daydreamer_SDR_8s_3840x2160_8.mkv,15.074,6.367,29
Daydreamer_SDR_8s_3840x2160_8.mkv,15.125,6.387,30
Daydreamer_SDR_8s_3840x2160_8.mkv,15.287,6.329,31
Daydreamer_SDR_8s_3840x2160_8.mkv,15.474,6.079,32
Daydreamer_SDR_8s_3840x2160_8.mkv,15.54,5.746,33
Daydreamer_SDR_8s_3840x2160_8.mkv,15.463,5.859,34
Daydreamer_SDR_8s_3840x2160_8.mkv,15.364,6.079,35
Daydreamer_SDR_8s_3840x2160_8.mkv,15.399,6.095,36
Daydreamer_SDR_8s_3840x2160_8.mkv,15.457,6.028,37
Daydreamer_SDR_8s_3840x2160_8.mkv,15.45,6.024,38
Daydreamer_SDR_8s_3840x2160_8.mkv,15.365,6.124,39
Daydreamer_SDR_8s_3840x2160_8.mkv,15.289,6.281,40
Daydreamer_SDR_8s_3840x2160_8.mkv,15.241,6.432,41
Daydreamer_SDR_8s_3840x2160_8.mkv,15.235,6.461,42
Daydreamer_SDR_8s_3840x2160_8.mkv,15.382,6.314,43
Daydreamer_SDR_8s_3840x2160_8.mkv,15.526,6.021,44
Daydreamer_SDR_8s_3840x2160_8.mkv,15.565,5.779,45
Daydreamer_SDR_8s_3840x2160_8.mkv,15.521,5.768,46
Daydreamer_SDR_8s_3840x2160_8.mkv,15.447,5.948,47
Daydreamer_SDR_8s_3840x2160_8.mkv,15.379,6.079,48
Daydreamer_SDR_8s_3840x2160_8.mkv,15.36,6.167,49
Daydreamer_SDR_8s_3840x2160_8.mkv,15.266,6.279,50
Daydreamer_SDR_8s_3840x2160_8.mkv,15.165,6.422,51
Daydreamer_SDR_8s_3840x2160_8.mkv,15.119,6.541,52
Daydreamer_SDR_8s_3840x2160_8.mkv,15.152,6.54,53
Daydreamer_SDR_8s_3840x2160_8.mkv,15.247,6.4,54
Daydreamer_SDR_8s_3840x2160_8.mkv,15.466,6.192,55
Daydreamer_SDR_8s_3840x2160_8.mkv,15.555,5.906,56
Daydreamer_SDR_8s_3840x2160_8.mkv,15.562,5.703,57
Daydreamer_SDR_8s_3840x2160_8.mkv,15.523,5.678,58
Daydreamer_SDR_8s_3840x2160_8.mkv,15.445,5.813,59
Daydreamer_SDR_8s_3840x2160_8.mkv,15.302,6.031,60
Daydreamer_SDR_8s_3840x2160_8.mkv,15.118,6.299,61
Daydreamer_SDR_8s_3840x2160_8.mkv,15.023,6.547,62
Daydreamer_SDR_8s_3840x2160_8.mkv,14.973,6.659,63
Daydreamer_SDR_8s_3840x2160_8.mkv,15.017,6.653,64
Daydreamer_SDR_8s_3840x2160_8.mkv,15.108,6.589,65
Daydreamer_SDR_8s_3840x2160_8.mkv,15.202,6.475,66
Daydreamer_SDR_8s_3840x2160_8.mkv,15.348,6.325,67
Daydreamer_SDR_8s_3840x2160_8.mkv,15.499,6.146,68
Daydreamer_SDR_8s_3840x2160_8.mkv,15.616,5.886,69
Daydreamer_SDR_8s_3840x2160_8.mkv,15.703,5.623,70
Daydreamer_SDR_8s_3840x2160_8.mkv,15.725,5.526,71
Daydreamer_SDR_8s_3840x2160_8.mkv,15.678,5.541,72
Daydreamer_SDR_8s_3840x2160_8.mkv,15.653,5.623,73
Daydreamer_SDR_8s_3840x2160_8.mkv,15.579,5.743,74
Daydreamer_SDR_8s_3840x2160_8.mkv,15.444,5.951,75
Daydreamer_SDR_8s_3840x2160_8.mkv,15.314,6.19,76
Daydreamer_SDR_8s_3840x2160_8.mkv,15.283,6.311,77
Daydreamer_SDR_8s_3840x2160_8.mkv,15.266,6.351,78
Daydreamer_SDR_8s_3840x2160_8.mkv,15.362,6.359,79
Daydreamer_SDR_8s_3840x2160_8.mkv,15.533,6.191,80
Daydreamer_SDR_8s_3840x2160_8.mkv,15.711,5.857,81
Daydreamer_SDR_8s_3840x2160_8.mkv,15.754,5.619,82
Daydreamer_SDR_8s_3840x2160_8.mkv,15.596,5.773,83
Daydreamer_SDR_8s_3840x2160_8.mkv,15.464,6.096,84
Daydreamer_SDR_8s_3840x2160_8.mkv,15.393,6.274,85
Daydreamer_SDR_8s_3840x2160_8.mkv,15.442,6.336,86
Daydreamer_SDR_8s_3840x2160_8.mkv,15.455,6.34,87
Daydreamer_SDR_8s_3840x2160_8.mkv,15.464,6.403,88
Daydreamer_SDR_8s_3840x2160_8.mkv,15.543,6.397,89
Daydreamer_SDR_8s_3840x2160_8.mkv,15.503,6.338,90
Daydreamer_SDR_8s_3840x2160_8.mkv,15.483,6.339,91
Daydreamer_SDR_8s_3840x2160_8.mkv,15.502,6.342,92
Daydreamer_SDR_8s_3840x2160_8.mkv,15.482,6.297,93
Daydreamer_SDR_8s_3840x2160_8.mkv,15.542,6.225,94
Daydreamer_SDR_8s_3840x2160_8.mkv,15.588,6.18,95
Daydreamer_SDR_8s_3840x2160_8.mkv,15.704,6.063,96
Daydreamer_SDR_8s_3840x2160_8.mkv,15.883,5.801,97
Daydreamer_SDR_8s_3840x2160_8.mkv,15.954,5.531,98
Daydreamer_SDR_8s_3840x2160_8.mkv,15.753,5.716,99
Daydreamer_SDR_8s_3840x2160_8.mkv,15.544,6.153,100
Daydreamer_SDR_8s_3840x2160_8.mkv,15.529,6.326,101
Daydreamer_SDR_8s_3840x2160_8.mkv,15.578,6.277,102
Daydreamer_SDR_8s_3840x2160_8.mkv,15.698,6.144,103
Daydreamer_SDR_8s_3840x2160_8.mkv,15.764,6.017,104
Daydreamer_SDR_8s_3840x2160_8.mkv,15.756,6.016,105
