input_file,si,ti,n
Giftmord-SDR_8s_11_3840x2160.mkv,21.166,0.0,1
Giftmord-SDR_8s_11_3840x2160.mkv,21.178,2.888,2
Giftmord-SDR_8s_11_3840x2160.mkv,21.157,2.899,3
Giftmord-SDR_8s_11_3840x2160.mkv,21.162,2.921,4
Giftmord-SDR_8s_11_3840x2160.mkv,21.171,3.01,5
Giftmord-SDR_8s_11_3840x2160.mkv,21.154,3.069,6
Giftmord-SDR_8s_11_3840x2160.mkv,21.204,3.117,7
Giftmord-SDR_8s_11_3840x2160.mkv,21.218,3.214,8
Giftmord-SDR_8s_11_3840x2160.mkv,21.21,3.364,9
Giftmord-SDR_8s_11_3840x2160.mkv,21.243,3.448,10
Giftmord-SDR_8s_11_3840x2160.mkv,21.256,3.597,11
Giftmord-SDR_8s_11_3840x2160.mkv,21.269,3.943,12
Giftmord-SDR_8s_11_3840x2160.mkv,21.287,4.153,13
Giftmord-SDR_8s_11_3840x2160.mkv,21.295,4.287,14
Giftmord-SDR_8s_11_3840x2160.mkv,21.281,4.442,15
Giftmord-SDR_8s_11_3840x2160.mkv,21.297,4.423,16
Giftmord-SDR_8s_11_3840x2160.mkv,21.29,4.317,17
Giftmord-SDR_8s_11_3840x2160.mkv,21.285,4.226,18
Giftmord-SDR_8s_11_3840x2160.mkv,21.315,4.152,19
Giftmord-SDR_8s_11_3840x2160.mkv,21.339,4.063,20
Giftmord-SDR_8s_11_3840x2160.mkv,21.343,4.128,21
Giftmord-SDR_8s_11_3840x2160.mkv,21.384,4.183,22
Giftmord-SDR_8s_11_3840x2160.mkv,21.402,4.227,23
Giftmord-SDR_8s_11_3840x2160.mkv,21.428,4.284,24
Giftmord-SDR_8s_11_3840x2160.mkv,21.42,4.383,25
Giftmord-SDR_8s_11_3840x2160.mkv,21.438,4.472,26
Giftmord-SDR_8s_11_3840x2160.mkv,21.412,4.651,27
Giftmord-SDR_8s_11_3840x2160.mkv,21.458,4.823,28
Giftmord-SDR_8s_11_3840x2160.mkv,21.44,4.882,29
Giftmord-SDR_8s_11_3840x2160.mkv,21.456,5.016,30
Giftmord-SDR_8s_11_3840x2160.mkv,21.473,5.078,31
Giftmord-SDR_8s_11_3840x2160.mkv,21.493,5.132,32
Giftmord-SDR_8s_11_3840x2160.mkv,21.483,5.146,33
Giftmord-SDR_8s_11_3840x2160.mkv,21.522,5.147,34
Giftmord-SDR_8s_11_3840x2160.mkv,21.509,5.214,35
Giftmord-SDR_8s_11_3840x2160.mkv,21.516,5.256,36
Giftmord-SDR_8s_11_3840x2160.mkv,21.526,5.275,37
Giftmord-SDR_8s_11_3840x2160.mkv,21.539,5.402,38
