input_file,si,ti,n
LeagueOfLegends-1_8s.mkv,51.345,0.0,1
LeagueOfLegends-1_8s.mkv,51.351,5.563,2
LeagueOfLegends-1_8s.mkv,51.402,5.52,3
LeagueOfLegends-1_8s.mkv,51.351,10.733,4
LeagueOfLegends-1_8s.mkv,51.376,5.167,5
LeagueOfLegends-1_8s.mkv,51.382,4.765,6
LeagueOfLegends-1_8s.mkv,51.385,4.568,7
LeagueOfLegends-1_8s.mkv,51.377,4.691,8
LeagueOfLegends-1_8s.mkv,51.407,5.132,9
LeagueOfLegends-1_8s.mkv,51.398,5.015,10
LeagueOfLegends-1_8s.mkv,51.458,5.914,11
LeagueOfLegends-1_8s.mkv,51.521,5.539,12
LeagueOfLegends-1_8s.mkv,51.503,5.775,13
LeagueOfLegends-1_8s.mkv,51.51,5.186,14
LeagueOfLegends-1_8s.mkv,51.655,6.049,15
LeagueOfLegends-1_8s.mkv,51.545,7.759,16
LeagueOfLegends-1_8s.mkv,51.514,5.425,17
LeagueOfLegends-1_8s.mkv,51.542,5.551,18
LeagueOfLegends-1_8s.mkv,51.508,5.373,19
LeagueOfLegends-1_8s.mkv,51.604,5.286,20
LeagueOfLegends-1_8s.mkv,51.611,5.536,21
LeagueOfLegends-1_8s.mkv,51.614,0.178,22
LeagueOfLegends-1_8s.mkv,51.64,7.129,23
LeagueOfLegends-1_8s.mkv,51.625,5.011,24
LeagueOfLegends-1_8s.mkv,51.693,6.03,25
LeagueOfLegends-1_8s.mkv,51.633,6.171,26
LeagueOfLegends-1_8s.mkv,27.07,17.765,27
LeagueOfLegends-1_8s.mkv,27.132,5.269,28
LeagueOfLegends-1_8s.mkv,27.198,6.113,29
LeagueOfLegends-1_8s.mkv,28.508,16.83,30
LeagueOfLegends-1_8s.mkv,28.257,6.917,31
LeagueOfLegends-1_8s.mkv,27.893,7.169,32
LeagueOfLegends-1_8s.mkv,27.629,6.526,33
LeagueOfLegends-1_8s.mkv,27.41,6.321,34
LeagueOfLegends-1_8s.mkv,27.192,6.344,35
LeagueOfLegends-1_8s.mkv,26.723,12.512,36
LeagueOfLegends-1_8s.mkv,26.722,5.663,37
LeagueOfLegends-1_8s.mkv,26.758,5.573,38
LeagueOfLegends-1_8s.mkv,26.741,5.818,39
LeagueOfLegends-1_8s.mkv,26.733,5.312,40
LeagueOfLegends-1_8s.mkv,26.787,5.383,41
LeagueOfLegends-1_8s.mkv,26.833,5.676,42
LeagueOfLegends-1_8s.mkv,26.966,7.213,43
LeagueOfLegends-1_8s.mkv,26.952,5.866,44
LeagueOfLegends-1_8s.mkv,26.904,6.16,45
LeagueOfLegends-1_8s.mkv,26.84,5.987,46
LeagueOfLegends-1_8s.mkv,26.876,6.268,47
LeagueOfLegends-1_8s.mkv,26.881,0.162,48
LeagueOfLegends-1_8s.mkv,26.983,8.129,49
LeagueOfLegends-1_8s.mkv,27.078,6.549,50
LeagueOfLegends-1_8s.mkv,27.45,6.641,51
LeagueOfLegends-1_8s.mkv,27.304,6.697,52
LeagueOfLegends-1_8s.mkv,27.317,6.447,53
LeagueOfLegends-1_8s.mkv,27.227,6.282,54
LeagueOfLegends-1_8s.mkv,27.292,6.177,55
LeagueOfLegends-1_8s.mkv,27.276,6.275,56
LeagueOfLegends-1_8s.mkv,27.126,10.403,57
LeagueOfLegends-1_8s.mkv,27.242,6.171,58
LeagueOfLegends-1_8s.mkv,27.281,6.654,59
LeagueOfLegends-1_8s.mkv,27.319,6.786,60
LeagueOfLegends-1_8s.mkv,27.373,7.932,61
LeagueOfLegends-1_8s.mkv,27.408,7.397,62
LeagueOfLegends-1_8s.mkv,27.332,7.536,63
LeagueOfLegends-1_8s.mkv,27.405,7.439,64
LeagueOfLegends-1_8s.mkv,27.543,7.438,65
LeagueOfLegends-1_8s.mkv,27.554,0.191,66
LeagueOfLegends-1_8s.mkv,27.367,9.088,67
LeagueOfLegends-1_8s.mkv,27.388,7.131,68
LeagueOfLegends-1_8s.mkv,27.435,6.952,69
LeagueOfLegends-1_8s.mkv,27.257,6.662,70
LeagueOfLegends-1_8s.mkv,27.308,6.605,71
LeagueOfLegends-1_8s.mkv,27.35,6.515,72
LeagueOfLegends-1_8s.mkv,27.254,6.434,73
LeagueOfLegends-1_8s.mkv,27.252,6.372,74
