input_file,si,ti,n
Moment_of_Intensity_8s.mkv,39.362,0.0,1
Moment_of_Intensity_8s.mkv,39.387,6.252,2
Moment_of_Intensity_8s.mkv,39.396,6.108,3
Moment_of_Intensity_8s.mkv,39.399,6.043,4
Moment_of_Intensity_8s.mkv,39.4,5.871,5
Moment_of_Intensity_8s.mkv,39.349,5.988,6
Moment_of_Intensity_8s.mkv,39.409,6.134,7
Moment_of_Intensity_8s.mkv,39.387,6.176,8
Moment_of_Intensity_8s.mkv,39.377,6.904,9
Moment_of_Intensity_8s.mkv,39.236,7.418,10
Moment_of_Intensity_8s.mkv,38.677,9.152,11
Moment_of_Intensity_8s.mkv,38.281,10.671,12
Moment_of_Intensity_8s.mkv,38.002,11.229,13
Moment_of_Intensity_8s.mkv,37.491,11.922,14
Moment_of_Intensity_8s.mkv,36.758,12.584,15
Moment_of_Intensity_8s.mkv,35.886,13.244,16
Moment_of_Intensity_8s.mkv,35.247,13.766,17
Moment_of_Intensity_8s.mkv,34.872,14.049,18
Moment_of_Intensity_8s.mkv,34.614,14.24,19
Moment_of_Intensity_8s.mkv,34.509,14.351,20
Moment_of_Intensity_8s.mkv,34.3,14.375,21
Moment_of_Intensity_8s.mkv,34.185,14.388,22
Moment_of_Intensity_8s.mkv,34.128,14.316,23
Moment_of_Intensity_8s.mkv,34.271,14.223,24
Moment_of_Intensity_8s.mkv,34.632,14.042,25
Moment_of_Intensity_8s.mkv,35.14,13.727,26
Moment_of_Intensity_8s.mkv,35.585,13.374,27
Moment_of_Intensity_8s.mkv,35.966,13.088,28
Moment_of_Intensity_8s.mkv,36.108,12.959,29
Moment_of_Intensity_8s.mkv,35.965,12.998,30
Moment_of_Intensity_8s.mkv,35.261,13.351,31
Moment_of_Intensity_8s.mkv,34.215,13.955,32
Moment_of_Intensity_8s.mkv,33.222,14.578,33
Moment_of_Intensity_8s.mkv,32.277,15.133,34
Moment_of_Intensity_8s.mkv,31.505,15.567,35
Moment_of_Intensity_8s.mkv,30.952,15.919,36
Moment_of_Intensity_8s.mkv,30.552,16.269,37
Moment_of_Intensity_8s.mkv,30.344,16.598,38
Moment_of_Intensity_8s.mkv,30.181,16.819,39
Moment_of_Intensity_8s.mkv,29.78,17.184,40
Moment_of_Intensity_8s.mkv,29.452,17.507,41
Moment_of_Intensity_8s.mkv,29.183,17.789,42
Moment_of_Intensity_8s.mkv,28.871,17.925,43
Moment_of_Intensity_8s.mkv,28.746,17.845,44
Moment_of_Intensity_8s.mkv,28.686,17.94,45
Moment_of_Intensity_8s.mkv,28.578,18.036,46
Moment_of_Intensity_8s.mkv,28.435,18.137,47
Moment_of_Intensity_8s.mkv,28.331,18.27,48
Moment_of_Intensity_8s.mkv,28.153,18.43,49
Moment_of_Intensity_8s.mkv,28.059,18.567,50
Moment_of_Intensity_8s.mkv,27.913,18.731,51
Moment_of_Intensity_8s.mkv,27.785,18.859,52
Moment_of_Intensity_8s.mkv,27.666,19.087,53
Moment_of_Intensity_8s.mkv,27.667,19.241,54
Moment_of_Intensity_8s.mkv,27.704,19.416,55
Moment_of_Intensity_8s.mkv,27.751,19.48,56
