input_file,si,ti,n
Sparks_cut_15.mkv,57.018,0.0,1
Sparks_cut_15.mkv,61.859,28.534,2
Sparks_cut_15.mkv,62.715,30.263,3
Sparks_cut_15.mkv,55.986,28.49,4
Sparks_cut_15.mkv,52.848,25.401,5
Sparks_cut_15.mkv,51.067,24.672,6
Sparks_cut_15.mkv,48.191,23.698,7
Sparks_cut_15.mkv,46.487,22.516,8
Sparks_cut_15.mkv,46.375,21.643,9
Sparks_cut_15.mkv,46.9,22.327,10
Sparks_cut_15.mkv,52.608,25.061,11
Sparks_cut_15.mkv,51.108,24.07,12
Sparks_cut_15.mkv,40.682,25.227,13
Sparks_cut_15.mkv,37.002,17.746,14
Sparks_cut_15.mkv,36.598,16.361,15
Sparks_cut_15.mkv,45.873,22.583,16
Sparks_cut_15.mkv,47.886,21.246,17
Sparks_cut_15.mkv,39.504,22.855,18
Sparks_cut_15.mkv,37.759,17.022,19
Sparks_cut_15.mkv,37.088,15.826,20
Sparks_cut_15.mkv,37.731,16.032,21
Sparks_cut_15.mkv,47.684,25.331,22
Sparks_cut_15.mkv,48.025,22.854,23
Sparks_cut_15.mkv,41.353,22.111,24
Sparks_cut_15.mkv,37.272,20.937,25
Sparks_cut_15.mkv,37.528,17.682,26
Sparks_cut_15.mkv,36.495,17.856,27
Sparks_cut_15.mkv,45.133,24.377,28
Sparks_cut_15.mkv,43.309,21.664,29
Sparks_cut_15.mkv,40.346,19.292,30
Sparks_cut_15.mkv,40.382,18.312,31
Sparks_cut_15.mkv,38.267,17.749,32
Sparks_cut_15.mkv,37.074,17.301,33
Sparks_cut_15.mkv,36.763,16.557,34
Sparks_cut_15.mkv,37.139,15.818,35
Sparks_cut_15.mkv,36.003,15.414,36
Sparks_cut_15.mkv,45.106,23.318,37
Sparks_cut_15.mkv,44.656,20.492,38
Sparks_cut_15.mkv,39.471,19.819,39
Sparks_cut_15.mkv,37.176,16.265,40
Sparks_cut_15.mkv,36.337,15.513,41
Sparks_cut_15.mkv,35.706,15.539,42
Sparks_cut_15.mkv,35.02,15.18,43
Sparks_cut_15.mkv,42.554,20.843,44
Sparks_cut_15.mkv,37.185,19.022,45
Sparks_cut_15.mkv,34.209,15.242,46
Sparks_cut_15.mkv,33.664,14.374,47
Sparks_cut_15.mkv,34.744,14.076,48
Sparks_cut_15.mkv,34.889,14.217,49
Sparks_cut_15.mkv,33.679,14.395,50
Sparks_cut_15.mkv,44.669,22.642,51
Sparks_cut_15.mkv,41.813,19.633,52
Sparks_cut_15.mkv,35.315,18.362,53
Sparks_cut_15.mkv,32.594,15.13,54
Sparks_cut_15.mkv,34.28,14.266,55
Sparks_cut_15.mkv,34.229,14.15,56
Sparks_cut_15.mkv,44.095,21.767,57
Sparks_cut_15.mkv,42.821,19.565,58
Sparks_cut_15.mkv,35.968,19.921,59
