input_file,si,ti,n
air_acrobatics_harmonic_0_cropped_8s.mkv,16.889,0.0,1
air_acrobatics_harmonic_0_cropped_8s.mkv,17.109,4.887,2
air_acrobatics_harmonic_0_cropped_8s.mkv,17.068,4.299,3
air_acrobatics_harmonic_0_cropped_8s.mkv,17.061,3.648,4
air_acrobatics_harmonic_0_cropped_8s.mkv,17.186,4.099,5
air_acrobatics_harmonic_0_cropped_8s.mkv,17.044,4.576,6
air_acrobatics_harmonic_0_cropped_8s.mkv,17.201,3.213,7
air_acrobatics_harmonic_0_cropped_8s.mkv,17.248,2.915,8
air_acrobatics_harmonic_0_cropped_8s.mkv,17.236,2.869,9
air_acrobatics_harmonic_0_cropped_8s.mkv,17.241,3.139,10
air_acrobatics_harmonic_0_cropped_8s.mkv,17.269,2.894,11
air_acrobatics_harmonic_0_cropped_8s.mkv,17.248,2.875,12
air_acrobatics_harmonic_0_cropped_8s.mkv,17.29,2.959,13
air_acrobatics_harmonic_0_cropped_8s.mkv,17.303,3.035,14
air_acrobatics_harmonic_0_cropped_8s.mkv,17.355,2.928,15
air_acrobatics_harmonic_0_cropped_8s.mkv,17.328,2.944,16
air_acrobatics_harmonic_0_cropped_8s.mkv,17.314,2.875,17
air_acrobatics_harmonic_0_cropped_8s.mkv,17.3,2.937,18
air_acrobatics_harmonic_0_cropped_8s.mkv,17.327,3.286,19
air_acrobatics_harmonic_0_cropped_8s.mkv,17.301,2.961,20
air_acrobatics_harmonic_0_cropped_8s.mkv,17.317,2.968,21
air_acrobatics_harmonic_0_cropped_8s.mkv,17.365,3.542,22
air_acrobatics_harmonic_0_cropped_8s.mkv,17.264,3.169,23
air_acrobatics_harmonic_0_cropped_8s.mkv,17.333,2.909,24
air_acrobatics_harmonic_0_cropped_8s.mkv,17.258,3.619,25
air_acrobatics_harmonic_0_cropped_8s.mkv,17.236,3.356,26
air_acrobatics_harmonic_0_cropped_8s.mkv,17.056,5.152,27
air_acrobatics_harmonic_0_cropped_8s.mkv,17.012,5.015,28
air_acrobatics_harmonic_0_cropped_8s.mkv,16.931,5.652,29
air_acrobatics_harmonic_0_cropped_8s.mkv,16.844,5.053,30
air_acrobatics_harmonic_0_cropped_8s.mkv,16.942,5.48,31
air_acrobatics_harmonic_0_cropped_8s.mkv,17.042,5.347,32
air_acrobatics_harmonic_0_cropped_8s.mkv,16.911,5.304,33
air_acrobatics_harmonic_0_cropped_8s.mkv,17.006,5.333,34
air_acrobatics_harmonic_0_cropped_8s.mkv,16.835,5.379,35
air_acrobatics_harmonic_0_cropped_8s.mkv,17.375,3.605,36
air_acrobatics_harmonic_0_cropped_8s.mkv,17.242,3.364,37
air_acrobatics_harmonic_0_cropped_8s.mkv,17.295,3.191,38
air_acrobatics_harmonic_0_cropped_8s.mkv,17.279,3.305,39
air_acrobatics_harmonic_0_cropped_8s.mkv,17.2,3.409,40
air_acrobatics_harmonic_0_cropped_8s.mkv,17.169,3.061,41
air_acrobatics_harmonic_0_cropped_8s.mkv,17.261,3.328,42
air_acrobatics_harmonic_0_cropped_8s.mkv,17.221,2.925,43
air_acrobatics_harmonic_0_cropped_8s.mkv,16.91,4.8,44
air_acrobatics_harmonic_0_cropped_8s.mkv,17.07,4.459,45
air_acrobatics_harmonic_0_cropped_8s.mkv,17.053,4.51,46
air_acrobatics_harmonic_0_cropped_8s.mkv,17.003,4.543,47
air_acrobatics_harmonic_0_cropped_8s.mkv,17.195,4.678,48
air_acrobatics_harmonic_0_cropped_8s.mkv,17.11,4.548,49
air_acrobatics_harmonic_0_cropped_8s.mkv,17.201,4.662,50
air_acrobatics_harmonic_0_cropped_8s.mkv,17.095,4.736,51
air_acrobatics_harmonic_0_cropped_8s.mkv,17.039,5.09,52
air_acrobatics_harmonic_0_cropped_8s.mkv,17.068,4.957,53
air_acrobatics_harmonic_0_cropped_8s.mkv,16.985,4.748,54
air_acrobatics_harmonic_0_cropped_8s.mkv,17.13,4.701,55
air_acrobatics_harmonic_0_cropped_8s.mkv,16.696,5.175,56
air_acrobatics_harmonic_0_cropped_8s.mkv,16.958,5.927,57
air_acrobatics_harmonic_0_cropped_8s.mkv,16.808,5.808,58
air_acrobatics_harmonic_0_cropped_8s.mkv,16.574,5.949,59
air_acrobatics_harmonic_0_cropped_8s.mkv,16.826,6.055,60
air_acrobatics_harmonic_0_cropped_8s.mkv,16.974,5.912,61
air_acrobatics_harmonic_0_cropped_8s.mkv,16.655,5.812,62
air_acrobatics_harmonic_0_cropped_8s.mkv,16.775,5.996,63
air_acrobatics_harmonic_0_cropped_8s.mkv,16.63,5.933,64
air_acrobatics_harmonic_0_cropped_8s.mkv,16.598,5.948,65
air_acrobatics_harmonic_0_cropped_8s.mkv,16.737,6.111,66
air_acrobatics_harmonic_0_cropped_8s.mkv,16.869,5.666,67
air_acrobatics_harmonic_0_cropped_8s.mkv,16.731,6.339,68
air_acrobatics_harmonic_0_cropped_8s.mkv,16.998,5.824,69
air_acrobatics_harmonic_0_cropped_8s.mkv,16.913,5.462,70
air_acrobatics_harmonic_0_cropped_8s.mkv,16.764,6.043,71
air_acrobatics_harmonic_0_cropped_8s.mkv,17.033,5.279,72
air_acrobatics_harmonic_0_cropped_8s.mkv,16.892,4.82,73
air_acrobatics_harmonic_0_cropped_8s.mkv,16.614,5.529,74
air_acrobatics_harmonic_0_cropped_8s.mkv,16.797,5.399,75
air_acrobatics_harmonic_0_cropped_8s.mkv,16.93,4.901,76
air_acrobatics_harmonic_0_cropped_8s.mkv,16.652,4.81,77
air_acrobatics_harmonic_0_cropped_8s.mkv,16.75,4.897,78
air_acrobatics_harmonic_0_cropped_8s.mkv,16.497,3.505,79
air_acrobatics_harmonic_0_cropped_8s.mkv,16.457,3.758,80
air_acrobatics_harmonic_0_cropped_8s.mkv,16.186,3.253,81
air_acrobatics_harmonic_0_cropped_8s.mkv,15.98,3.354,82
air_acrobatics_harmonic_0_cropped_8s.mkv,16.058,3.606,83
air_acrobatics_harmonic_0_cropped_8s.mkv,15.822,4.482,84
air_acrobatics_harmonic_0_cropped_8s.mkv,15.686,4.484,85
air_acrobatics_harmonic_0_cropped_8s.mkv,15.753,3.853,86
air_acrobatics_harmonic_0_cropped_8s.mkv,15.654,3.567,87
air_acrobatics_harmonic_0_cropped_8s.mkv,15.591,3.532,88
air_acrobatics_harmonic_0_cropped_8s.mkv,15.787,3.545,89
air_acrobatics_harmonic_0_cropped_8s.mkv,15.801,3.702,90
air_acrobatics_harmonic_0_cropped_8s.mkv,15.685,3.971,91
air_acrobatics_harmonic_0_cropped_8s.mkv,15.608,3.948,92
air_acrobatics_harmonic_0_cropped_8s.mkv,15.667,4.164,93
air_acrobatics_harmonic_0_cropped_8s.mkv,15.623,4.865,94
air_acrobatics_harmonic_0_cropped_8s.mkv,15.645,4.563,95
air_acrobatics_harmonic_0_cropped_8s.mkv,15.681,4.38,96
air_acrobatics_harmonic_0_cropped_8s.mkv,15.726,4.898,97
air_acrobatics_harmonic_0_cropped_8s.mkv,15.89,4.563,98
air_acrobatics_harmonic_0_cropped_8s.mkv,15.833,4.78,99
air_acrobatics_harmonic_0_cropped_8s.mkv,15.791,5.122,100
air_acrobatics_harmonic_0_cropped_8s.mkv,15.949,4.549,101
air_acrobatics_harmonic_0_cropped_8s.mkv,15.544,4.359,102
air_acrobatics_harmonic_0_cropped_8s.mkv,15.835,5.252,103
air_acrobatics_harmonic_0_cropped_8s.mkv,15.308,4.83,104
air_acrobatics_harmonic_0_cropped_8s.mkv,15.366,6.398,105
air_acrobatics_harmonic_0_cropped_8s.mkv,15.158,6.166,106
air_acrobatics_harmonic_0_cropped_8s.mkv,15.408,6.34,107
air_acrobatics_harmonic_0_cropped_8s.mkv,15.707,5.823,108
air_acrobatics_harmonic_0_cropped_8s.mkv,15.966,5.202,109
air_acrobatics_harmonic_0_cropped_8s.mkv,15.749,4.826,110
air_acrobatics_harmonic_0_cropped_8s.mkv,15.726,5.179,111
air_acrobatics_harmonic_0_cropped_8s.mkv,15.99,4.7,112
air_acrobatics_harmonic_0_cropped_8s.mkv,16.173,4.807,113
air_acrobatics_harmonic_0_cropped_8s.mkv,16.011,4.666,114
air_acrobatics_harmonic_0_cropped_8s.mkv,16.275,4.874,115
air_acrobatics_harmonic_0_cropped_8s.mkv,16.228,4.296,116
air_acrobatics_harmonic_0_cropped_8s.mkv,16.171,4.701,117
air_acrobatics_harmonic_0_cropped_8s.mkv,16.301,4.842,118
air_acrobatics_harmonic_0_cropped_8s.mkv,16.32,4.561,119
air_acrobatics_harmonic_0_cropped_8s.mkv,16.232,4.344,120
air_acrobatics_harmonic_0_cropped_8s.mkv,16.238,4.569,121
air_acrobatics_harmonic_0_cropped_8s.mkv,16.293,4.789,122
air_acrobatics_harmonic_0_cropped_8s.mkv,16.316,4.138,123
air_acrobatics_harmonic_0_cropped_8s.mkv,16.212,4.557,124
air_acrobatics_harmonic_0_cropped_8s.mkv,16.282,4.184,125
air_acrobatics_harmonic_0_cropped_8s.mkv,16.38,3.843,126
air_acrobatics_harmonic_0_cropped_8s.mkv,16.288,3.884,127
air_acrobatics_harmonic_0_cropped_8s.mkv,16.321,3.637,128
air_acrobatics_harmonic_0_cropped_8s.mkv,16.317,3.575,129
air_acrobatics_harmonic_0_cropped_8s.mkv,16.221,3.51,130
air_acrobatics_harmonic_0_cropped_8s.mkv,16.177,3.681,131
air_acrobatics_harmonic_0_cropped_8s.mkv,16.125,4.078,132
air_acrobatics_harmonic_0_cropped_8s.mkv,16.17,3.757,133
air_acrobatics_harmonic_0_cropped_8s.mkv,16.216,3.713,134
air_acrobatics_harmonic_0_cropped_8s.mkv,16.013,4.06,135
air_acrobatics_harmonic_0_cropped_8s.mkv,16.177,3.863,136
air_acrobatics_harmonic_0_cropped_8s.mkv,16.122,3.966,137
