input_file,si,ti,n
american_football_harmonic_8s.mkv,65.532,0.0,1
american_football_harmonic_8s.mkv,64.808,18.277,2
american_football_harmonic_8s.mkv,64.841,25.272,3
american_football_harmonic_8s.mkv,64.661,21.008,4
american_football_harmonic_8s.mkv,63.818,23.035,5
american_football_harmonic_8s.mkv,63.023,25.576,6
american_football_harmonic_8s.mkv,64.462,24.856,7
american_football_harmonic_8s.mkv,64.582,26.311,8
american_football_harmonic_8s.mkv,64.169,26.453,9
american_football_harmonic_8s.mkv,62.807,27.174,10
american_football_harmonic_8s.mkv,63.816,27.297,11
american_football_harmonic_8s.mkv,64.85,26.193,12
american_football_harmonic_8s.mkv,65.348,28.64,13
american_football_harmonic_8s.mkv,65.184,19.872,14
american_football_harmonic_8s.mkv,65.014,28.475,15
american_football_harmonic_8s.mkv,65.419,20.494,16
american_football_harmonic_8s.mkv,65.753,20.158,17
american_football_harmonic_8s.mkv,65.642,20.473,18
american_football_harmonic_8s.mkv,65.559,22.46,19
american_football_harmonic_8s.mkv,65.343,16.708,20
american_football_harmonic_8s.mkv,65.489,19.935,21
american_football_harmonic_8s.mkv,65.631,20.857,22
american_football_harmonic_8s.mkv,65.469,17.693,23
american_football_harmonic_8s.mkv,64.58,20.347,24
american_football_harmonic_8s.mkv,64.944,26.078,25
american_football_harmonic_8s.mkv,64.332,25.125,26
american_football_harmonic_8s.mkv,63.102,24.645,27
american_football_harmonic_8s.mkv,62.514,25.845,28
american_football_harmonic_8s.mkv,62.21,24.834,29
american_football_harmonic_8s.mkv,61.888,26.425,30
american_football_harmonic_8s.mkv,61.704,25.757,31
american_football_harmonic_8s.mkv,62.584,26.882,32
american_football_harmonic_8s.mkv,62.098,25.272,33
american_football_harmonic_8s.mkv,62.048,27.095,34
american_football_harmonic_8s.mkv,61.675,26.152,35
american_football_harmonic_8s.mkv,62.244,25.939,36
american_football_harmonic_8s.mkv,63.827,26.11,37
american_football_harmonic_8s.mkv,64.183,26.606,38
american_football_harmonic_8s.mkv,64.152,26.603,39
american_football_harmonic_8s.mkv,63.978,26.695,40
american_football_harmonic_8s.mkv,63.659,25.981,41
american_football_harmonic_8s.mkv,63.004,26.473,42
american_football_harmonic_8s.mkv,61.997,26.263,43
american_football_harmonic_8s.mkv,62.152,26.62,44
american_football_harmonic_8s.mkv,62.779,26.697,45
american_football_harmonic_8s.mkv,64.013,26.753,46
american_football_harmonic_8s.mkv,63.917,28.219,47
american_football_harmonic_8s.mkv,63.102,26.995,48
american_football_harmonic_8s.mkv,62.296,27.607,49
american_football_harmonic_8s.mkv,61.351,26.777,50
american_football_harmonic_8s.mkv,61.509,28.56,51
american_football_harmonic_8s.mkv,62.662,27.929,52
american_football_harmonic_8s.mkv,64.587,29.202,53
american_football_harmonic_8s.mkv,64.476,29.042,54
american_football_harmonic_8s.mkv,63.336,27.411,55
american_football_harmonic_8s.mkv,63.069,28.635,56
american_football_harmonic_8s.mkv,63.009,27.774,57
american_football_harmonic_8s.mkv,63.453,28.754,58
american_football_harmonic_8s.mkv,64.347,28.286,59
american_football_harmonic_8s.mkv,64.632,28.37,60
american_football_harmonic_8s.mkv,64.691,27.378,61
american_football_harmonic_8s.mkv,64.709,27.355,62
american_football_harmonic_8s.mkv,64.922,26.801,63
american_football_harmonic_8s.mkv,64.734,27.189,64
american_football_harmonic_8s.mkv,64.417,30.213,65
american_football_harmonic_8s.mkv,64.601,25.439,66
american_football_harmonic_8s.mkv,64.88,28.232,67
american_football_harmonic_8s.mkv,65.171,24.999,68
american_football_harmonic_8s.mkv,65.01,25.245,69
american_football_harmonic_8s.mkv,64.738,26.845,70
american_football_harmonic_8s.mkv,64.972,26.893,71
american_football_harmonic_8s.mkv,64.924,22.248,72
american_football_harmonic_8s.mkv,64.85,27.185,73
american_football_harmonic_8s.mkv,65.488,27.434,74
american_football_harmonic_8s.mkv,65.393,26.099,75
american_football_harmonic_8s.mkv,65.486,27.632,76
american_football_harmonic_8s.mkv,64.788,27.913,77
american_football_harmonic_8s.mkv,62.636,29.268,78
american_football_harmonic_8s.mkv,62.008,29.263,79
american_football_harmonic_8s.mkv,63.325,28.719,80
american_football_harmonic_8s.mkv,63.81,29.152,81
american_football_harmonic_8s.mkv,63.498,29.925,82
american_football_harmonic_8s.mkv,61.841,29.119,83
american_football_harmonic_8s.mkv,61.586,29.74,84
american_football_harmonic_8s.mkv,62.854,29.652,85
american_football_harmonic_8s.mkv,65.38,28.371,86
american_football_harmonic_8s.mkv,65.501,29.636,87
american_football_harmonic_8s.mkv,65.414,27.877,88
american_football_harmonic_8s.mkv,65.828,28.966,89
american_football_harmonic_8s.mkv,65.635,30.072,90
american_football_harmonic_8s.mkv,65.748,29.217,91
american_football_harmonic_8s.mkv,65.609,25.323,92
american_football_harmonic_8s.mkv,65.897,25.725,93
american_football_harmonic_8s.mkv,65.343,24.677,94
american_football_harmonic_8s.mkv,65.134,26.596,95
american_football_harmonic_8s.mkv,64.933,26.709,96
american_football_harmonic_8s.mkv,65.001,28.141,97
american_football_harmonic_8s.mkv,64.579,26.44,98
american_football_harmonic_8s.mkv,63.457,27.251,99
american_football_harmonic_8s.mkv,63.335,26.921,100
american_football_harmonic_8s.mkv,62.508,27.396,101
american_football_harmonic_8s.mkv,62.031,26.147,102
american_football_harmonic_8s.mkv,61.655,26.931,103
american_football_harmonic_8s.mkv,61.975,27.645,104
american_football_harmonic_8s.mkv,61.899,27.331,105
american_football_harmonic_8s.mkv,62.034,28.212,106
american_football_harmonic_8s.mkv,61.178,26.585,107
american_football_harmonic_8s.mkv,60.925,28.215,108
american_football_harmonic_8s.mkv,61.614,27.84,109
american_football_harmonic_8s.mkv,63.957,27.937,110
american_football_harmonic_8s.mkv,64.819,27.691,111
american_football_harmonic_8s.mkv,64.806,28.591,112
american_football_harmonic_8s.mkv,64.396,28.424,113
american_football_harmonic_8s.mkv,63.729,27.898,114
american_football_harmonic_8s.mkv,62.982,28.161,115
american_football_harmonic_8s.mkv,62.442,28.611,116
american_football_harmonic_8s.mkv,62.981,26.92,117
american_football_harmonic_8s.mkv,62.25,28.325,118
american_football_harmonic_8s.mkv,59.909,27.647,119
american_football_harmonic_8s.mkv,57.839,28.211,120
american_football_harmonic_8s.mkv,57.111,27.5,121
american_football_harmonic_8s.mkv,57.196,27.788,122
american_football_harmonic_8s.mkv,57.026,28.131,123
american_football_harmonic_8s.mkv,57.172,28.058,124
american_football_harmonic_8s.mkv,57.016,28.466,125
american_football_harmonic_8s.mkv,56.411,29.08,126
american_football_harmonic_8s.mkv,56.487,29.447,127
american_football_harmonic_8s.mkv,56.662,29.506,128
american_football_harmonic_8s.mkv,57.226,29.2,129
american_football_harmonic_8s.mkv,56.396,28.858,130
american_football_harmonic_8s.mkv,55.27,28.511,131
american_football_harmonic_8s.mkv,55.017,28.883,132
american_football_harmonic_8s.mkv,54.955,28.822,133
american_football_harmonic_8s.mkv,54.872,28.39,134
american_football_harmonic_8s.mkv,53.274,28.437,135
american_football_harmonic_8s.mkv,51.307,28.043,136
american_football_harmonic_8s.mkv,50.3,28.188,137
american_football_harmonic_8s.mkv,49.85,29.011,138
american_football_harmonic_8s.mkv,49.14,28.642,139
american_football_harmonic_8s.mkv,48.427,29.15,140
american_football_harmonic_8s.mkv,47.597,29.25,141
american_football_harmonic_8s.mkv,47.087,29.406,142
american_football_harmonic_8s.mkv,46.726,28.998,143
american_football_harmonic_8s.mkv,45.981,29.167,144
american_football_harmonic_8s.mkv,45.542,29.009,145
american_football_harmonic_8s.mkv,45.012,28.87,146
american_football_harmonic_8s.mkv,44.803,29.206,147
american_football_harmonic_8s.mkv,44.53,29.536,148
american_football_harmonic_8s.mkv,44.292,29.762,149
american_football_harmonic_8s.mkv,43.996,30.356,150
american_football_harmonic_8s.mkv,43.735,29.984,151
american_football_harmonic_8s.mkv,43.422,30.45,152
american_football_harmonic_8s.mkv,43.967,29.647,153
american_football_harmonic_8s.mkv,43.836,31.467,154
american_football_harmonic_8s.mkv,43.485,30.242,155
american_football_harmonic_8s.mkv,43.207,32.109,156
american_football_harmonic_8s.mkv,43.423,31.795,157
american_football_harmonic_8s.mkv,43.412,32.335,158
american_football_harmonic_8s.mkv,43.163,32.697,159
american_football_harmonic_8s.mkv,43.018,33.487,160
american_football_harmonic_8s.mkv,42.724,33.17,161
american_football_harmonic_8s.mkv,42.541,33.165,162
american_football_harmonic_8s.mkv,42.323,33.411,163
american_football_harmonic_8s.mkv,43.007,33.812,164
american_football_harmonic_8s.mkv,43.596,34.302,165
american_football_harmonic_8s.mkv,44.166,32.864,166
american_football_harmonic_8s.mkv,44.335,33.705,167
american_football_harmonic_8s.mkv,44.815,34.026,168
american_football_harmonic_8s.mkv,44.539,34.141,169
american_football_harmonic_8s.mkv,44.463,34.249,170
american_football_harmonic_8s.mkv,44.068,34.529,171
american_football_harmonic_8s.mkv,44.361,34.19,172
american_football_harmonic_8s.mkv,45.193,34.155,173
american_football_harmonic_8s.mkv,45.9,34.193,174
american_football_harmonic_8s.mkv,45.718,34.016,175
american_football_harmonic_8s.mkv,45.858,34.0,176
american_football_harmonic_8s.mkv,46.214,34.344,177
american_football_harmonic_8s.mkv,46.351,34.531,178
american_football_harmonic_8s.mkv,46.574,35.308,179
american_football_harmonic_8s.mkv,46.667,35.1,180
american_football_harmonic_8s.mkv,46.465,34.976,181
american_football_harmonic_8s.mkv,45.771,35.632,182
american_football_harmonic_8s.mkv,43.836,35.078,183
american_football_harmonic_8s.mkv,42.345,34.458,184
american_football_harmonic_8s.mkv,40.667,36.115,185
american_football_harmonic_8s.mkv,38.728,36.94,186
american_football_harmonic_8s.mkv,36.65,37.829,187
american_football_harmonic_8s.mkv,35.283,39.773,188
american_football_harmonic_8s.mkv,35.088,40.926,189
american_football_harmonic_8s.mkv,34.72,41.156,190
american_football_harmonic_8s.mkv,34.25,41.976,191
american_football_harmonic_8s.mkv,33.782,42.194,192
american_football_harmonic_8s.mkv,33.706,42.427,193
american_football_harmonic_8s.mkv,33.504,42.527,194
american_football_harmonic_8s.mkv,33.287,43.509,195
american_football_harmonic_8s.mkv,32.708,43.043,196
american_football_harmonic_8s.mkv,32.475,43.811,197
american_football_harmonic_8s.mkv,32.175,43.812,198
american_football_harmonic_8s.mkv,32.194,43.942,199
american_football_harmonic_8s.mkv,31.942,44.012,200
american_football_harmonic_8s.mkv,30.921,44.039,201
american_football_harmonic_8s.mkv,30.235,44.689,202
american_football_harmonic_8s.mkv,29.731,44.413,203
american_football_harmonic_8s.mkv,28.701,44.247,204
american_football_harmonic_8s.mkv,27.552,44.118,205
american_football_harmonic_8s.mkv,26.165,44.843,206
american_football_harmonic_8s.mkv,24.663,45.07,207
american_football_harmonic_8s.mkv,23.945,45.037,208
american_football_harmonic_8s.mkv,23.621,44.234,209
american_football_harmonic_8s.mkv,22.795,41.731,210
american_football_harmonic_8s.mkv,22.031,40.476,211
american_football_harmonic_8s.mkv,21.211,40.099,212
american_football_harmonic_8s.mkv,20.698,39.821,213
american_football_harmonic_8s.mkv,19.944,39.053,214
american_football_harmonic_8s.mkv,19.36,38.84,215
american_football_harmonic_8s.mkv,18.902,38.804,216
american_football_harmonic_8s.mkv,18.435,38.842,217
american_football_harmonic_8s.mkv,18.135,36.391,218
american_football_harmonic_8s.mkv,17.61,34.005,219
american_football_harmonic_8s.mkv,17.223,31.738,220
american_football_harmonic_8s.mkv,16.838,30.005,221
american_football_harmonic_8s.mkv,16.777,29.314,222
american_football_harmonic_8s.mkv,16.715,28.903,223
american_football_harmonic_8s.mkv,16.778,28.481,224
american_football_harmonic_8s.mkv,16.971,27.976,225
american_football_harmonic_8s.mkv,16.398,27.264,226
american_football_harmonic_8s.mkv,15.502,27.232,227
american_football_harmonic_8s.mkv,15.776,27.458,228
american_football_harmonic_8s.mkv,16.717,27.602,229
american_football_harmonic_8s.mkv,17.426,27.696,230
american_football_harmonic_8s.mkv,17.327,27.693,231
american_football_harmonic_8s.mkv,17.522,28.179,232
american_football_harmonic_8s.mkv,17.925,28.139,233
american_football_harmonic_8s.mkv,18.21,28.37,234
american_football_harmonic_8s.mkv,18.22,28.816,235
american_football_harmonic_8s.mkv,18.411,28.222,236
american_football_harmonic_8s.mkv,18.497,28.508,237
american_football_harmonic_8s.mkv,18.65,29.266,238
american_football_harmonic_8s.mkv,18.586,29.817,239
american_football_harmonic_8s.mkv,18.634,30.415,240
american_football_harmonic_8s.mkv,19.212,31.517,241
american_football_harmonic_8s.mkv,19.442,31.658,242
american_football_harmonic_8s.mkv,20.243,31.974,243
american_football_harmonic_8s.mkv,20.646,32.247,244
american_football_harmonic_8s.mkv,21.04,32.22,245
american_football_harmonic_8s.mkv,21.573,32.004,246
american_football_harmonic_8s.mkv,21.921,31.88,247
american_football_harmonic_8s.mkv,22.103,32.073,248
american_football_harmonic_8s.mkv,22.19,32.316,249
american_football_harmonic_8s.mkv,22.111,31.938,250
american_football_harmonic_8s.mkv,22.124,32.021,251
american_football_harmonic_8s.mkv,22.327,32.324,252
american_football_harmonic_8s.mkv,22.327,31.924,253
american_football_harmonic_8s.mkv,22.274,31.877,254
american_football_harmonic_8s.mkv,22.365,31.383,255
american_football_harmonic_8s.mkv,22.569,31.149,256
american_football_harmonic_8s.mkv,22.797,30.835,257
american_football_harmonic_8s.mkv,23.194,30.441,258
american_football_harmonic_8s.mkv,23.554,30.176,259
american_football_harmonic_8s.mkv,23.921,29.752,260
american_football_harmonic_8s.mkv,24.127,29.036,261
american_football_harmonic_8s.mkv,24.289,28.387,262
american_football_harmonic_8s.mkv,25.033,28.051,263
american_football_harmonic_8s.mkv,25.819,28.113,264
american_football_harmonic_8s.mkv,26.089,29.323,265
american_football_harmonic_8s.mkv,25.56,30.368,266
american_football_harmonic_8s.mkv,24.953,31.334,267
american_football_harmonic_8s.mkv,24.568,31.989,268
american_football_harmonic_8s.mkv,24.373,32.499,269
american_football_harmonic_8s.mkv,24.236,32.697,270
american_football_harmonic_8s.mkv,24.106,32.923,271
american_football_harmonic_8s.mkv,23.993,32.871,272
american_football_harmonic_8s.mkv,24.134,32.359,273
american_football_harmonic_8s.mkv,24.183,32.019,274
american_football_harmonic_8s.mkv,23.976,31.294,275
american_football_harmonic_8s.mkv,23.77,31.583,276
american_football_harmonic_8s.mkv,23.405,31.228,277
american_football_harmonic_8s.mkv,22.408,31.237,278
american_football_harmonic_8s.mkv,21.38,31.304,279
american_football_harmonic_8s.mkv,20.649,31.843,280
american_football_harmonic_8s.mkv,20.509,31.854,281
american_football_harmonic_8s.mkv,20.486,31.706,282
american_football_harmonic_8s.mkv,20.505,31.694,283
american_football_harmonic_8s.mkv,20.914,31.338,284
american_football_harmonic_8s.mkv,21.7,31.072,285
american_football_harmonic_8s.mkv,22.334,30.864,286
american_football_harmonic_8s.mkv,22.541,30.188,287
american_football_harmonic_8s.mkv,22.658,29.739,288
american_football_harmonic_8s.mkv,22.99,29.323,289
american_football_harmonic_8s.mkv,23.581,28.88,290
american_football_harmonic_8s.mkv,24.589,28.454,291
american_football_harmonic_8s.mkv,25.487,27.73,292
american_football_harmonic_8s.mkv,25.999,27.111,293
american_football_harmonic_8s.mkv,26.249,26.41,294
american_football_harmonic_8s.mkv,26.792,26.101,295
american_football_harmonic_8s.mkv,27.246,25.94,296
american_football_harmonic_8s.mkv,27.551,25.743,297
american_football_harmonic_8s.mkv,27.631,25.472,298
american_football_harmonic_8s.mkv,27.628,25.457,299
american_football_harmonic_8s.mkv,27.616,25.003,300
american_football_harmonic_8s.mkv,27.657,25.274,301
american_football_harmonic_8s.mkv,27.738,25.098,302
american_football_harmonic_8s.mkv,27.729,24.246,303
american_football_harmonic_8s.mkv,27.802,24.194,304
american_football_harmonic_8s.mkv,27.767,23.543,305
american_football_harmonic_8s.mkv,28.069,23.504,306
american_football_harmonic_8s.mkv,28.21,22.949,307
american_football_harmonic_8s.mkv,28.068,22.623,308
american_football_harmonic_8s.mkv,27.836,21.904,309
american_football_harmonic_8s.mkv,27.727,21.587,310
american_football_harmonic_8s.mkv,27.717,21.235,311
american_football_harmonic_8s.mkv,27.795,20.744,312
american_football_harmonic_8s.mkv,27.923,20.808,313
american_football_harmonic_8s.mkv,27.962,20.593,314
american_football_harmonic_8s.mkv,28.229,20.415,315
american_football_harmonic_8s.mkv,28.433,20.921,316
american_football_harmonic_8s.mkv,28.335,21.388,317
american_football_harmonic_8s.mkv,28.134,21.666,318
