input_file,si,ti,n
american_football_harmonic.mkv,0.0,0.0,1
american_football_harmonic.mkv,4.003,3.591,2
american_football_harmonic.mkv,7.681,4.25,3
american_football_harmonic.mkv,11.563,5.35,4
american_football_harmonic.mkv,15.47,6.523,5
american_football_harmonic.mkv,19.491,7.927,6
american_football_harmonic.mkv,23.331,9.092,7
american_football_harmonic.mkv,27.14,10.907,8
american_football_harmonic.mkv,31.106,12.313,9
american_football_harmonic.mkv,35.114,13.501,10
american_football_harmonic.mkv,39.095,14.695,11
american_football_harmonic.mkv,42.875,16.347,12
american_football_harmonic.mkv,47.404,16.806,13
american_football_harmonic.mkv,47.241,17.274,14
american_football_harmonic.mkv,47.507,15.409,15
american_football_harmonic.mkv,47.389,16.705,16
american_football_harmonic.mkv,48.12,15.335,17
american_football_harmonic.mkv,48.271,14.792,18
american_football_harmonic.mkv,48.166,14.725,19
american_football_harmonic.mkv,47.883,15.954,20
american_football_harmonic.mkv,47.792,16.485,21
american_football_harmonic.mkv,48.121,13.192,22
american_football_harmonic.mkv,47.896,14.569,23
american_football_harmonic.mkv,47.699,16.764,24
american_football_harmonic.mkv,46.983,11.963,25
american_football_harmonic.mkv,46.736,17.948,26
american_football_harmonic.mkv,47.226,18.688,27
american_football_harmonic.mkv,48.176,13.863,28
american_football_harmonic.mkv,47.738,10.79,29
american_football_harmonic.mkv,47.063,14.626,30
american_football_harmonic.mkv,46.993,18.588,31
american_football_harmonic.mkv,47.588,17.776,32
american_football_harmonic.mkv,48.394,7.271,33
american_football_harmonic.mkv,48.756,10.663,34
american_football_harmonic.mkv,48.221,8.3,35
american_football_harmonic.mkv,48.203,17.267,36
american_football_harmonic.mkv,48.195,9.942,37
american_football_harmonic.mkv,48.571,9.083,38
american_football_harmonic.mkv,48.537,9.904,39
american_football_harmonic.mkv,48.867,7.439,40
american_football_harmonic.mkv,49.399,6.403,41
american_football_harmonic.mkv,48.693,8.175,42
american_football_harmonic.mkv,47.381,9.149,43
american_football_harmonic.mkv,46.115,18.272,44
american_football_harmonic.mkv,66.567,65.654,45
american_football_harmonic.mkv,66.579,18.128,46
american_football_harmonic.mkv,66.476,17.472,47
american_football_harmonic.mkv,66.518,17.117,48
american_football_harmonic.mkv,66.407,12.847,49
american_football_harmonic.mkv,66.381,10.445,50
american_football_harmonic.mkv,66.221,16.778,51
american_football_harmonic.mkv,66.664,16.959,52
american_football_harmonic.mkv,66.708,9.344,53
american_football_harmonic.mkv,66.665,16.975,54
american_football_harmonic.mkv,66.886,6.585,55
american_football_harmonic.mkv,66.76,9.005,56
american_football_harmonic.mkv,66.376,9.492,57
american_football_harmonic.mkv,66.032,11.323,58
american_football_harmonic.mkv,65.981,16.64,59
american_football_harmonic.mkv,65.385,13.368,60
american_football_harmonic.mkv,64.663,18.249,61
american_football_harmonic.mkv,64.696,25.228,62
american_football_harmonic.mkv,64.517,20.972,63
american_football_harmonic.mkv,63.679,22.996,64
american_football_harmonic.mkv,62.885,25.532,65
american_football_harmonic.mkv,64.318,24.813,66
american_football_harmonic.mkv,64.437,26.264,67
american_football_harmonic.mkv,64.025,26.406,68
american_football_harmonic.mkv,62.668,27.126,69
american_football_harmonic.mkv,63.674,27.248,70
american_football_harmonic.mkv,64.706,26.146,71
american_football_harmonic.mkv,65.205,28.588,72
american_football_harmonic.mkv,65.039,19.84,73
american_football_harmonic.mkv,64.87,28.424,74
american_football_harmonic.mkv,65.274,20.46,75
american_football_harmonic.mkv,65.605,20.125,76
american_football_harmonic.mkv,65.494,20.438,77
american_football_harmonic.mkv,65.411,22.421,78
american_football_harmonic.mkv,65.196,16.682,79
american_football_harmonic.mkv,65.34,19.901,80
american_football_harmonic.mkv,65.484,20.822,81
american_football_harmonic.mkv,65.323,17.664,82
american_football_harmonic.mkv,64.434,20.313,83
american_football_harmonic.mkv,64.801,26.032,84
american_football_harmonic.mkv,64.188,25.082,85
american_football_harmonic.mkv,62.962,24.604,86
american_football_harmonic.mkv,62.374,25.801,87
american_football_harmonic.mkv,62.071,24.792,88
american_football_harmonic.mkv,61.749,26.38,89
american_football_harmonic.mkv,61.567,25.713,90
american_football_harmonic.mkv,62.445,26.835,91
american_football_harmonic.mkv,61.962,25.23,92
american_football_harmonic.mkv,61.911,27.048,93
american_football_harmonic.mkv,61.54,26.107,94
american_football_harmonic.mkv,62.105,25.895,95
american_football_harmonic.mkv,63.686,26.065,96
american_football_harmonic.mkv,64.042,26.56,97
american_football_harmonic.mkv,64.011,26.556,98
american_football_harmonic.mkv,63.836,26.648,99
american_football_harmonic.mkv,63.515,25.935,100
american_football_harmonic.mkv,62.864,26.427,101
american_football_harmonic.mkv,61.859,26.218,102
american_football_harmonic.mkv,62.013,26.572,103
american_football_harmonic.mkv,62.642,26.65,104
american_football_harmonic.mkv,63.872,26.706,105
american_football_harmonic.mkv,63.777,28.169,106
american_football_harmonic.mkv,62.965,26.949,107
american_football_harmonic.mkv,62.157,27.561,108
american_football_harmonic.mkv,61.213,26.731,109
american_football_harmonic.mkv,61.371,28.51,110
american_football_harmonic.mkv,62.521,27.879,111
american_football_harmonic.mkv,64.442,29.15,112
american_football_harmonic.mkv,64.33,28.99,113
american_football_harmonic.mkv,63.19,27.362,114
american_football_harmonic.mkv,62.927,28.583,115
american_football_harmonic.mkv,62.867,27.724,116
american_football_harmonic.mkv,63.308,28.702,117
american_football_harmonic.mkv,64.2,28.234,118
american_football_harmonic.mkv,64.482,28.318,119
american_football_harmonic.mkv,64.543,27.328,120
american_football_harmonic.mkv,64.559,27.306,121
american_football_harmonic.mkv,64.776,26.753,122
american_football_harmonic.mkv,64.586,27.14,123
american_football_harmonic.mkv,64.272,30.157,124
american_football_harmonic.mkv,64.457,25.394,125
american_football_harmonic.mkv,64.734,28.181,126
american_football_harmonic.mkv,65.023,24.954,127
american_football_harmonic.mkv,64.861,25.2,128
american_football_harmonic.mkv,64.592,26.796,129
american_football_harmonic.mkv,64.826,26.844,130
american_football_harmonic.mkv,64.777,22.21,131
american_football_harmonic.mkv,64.706,27.135,132
american_football_harmonic.mkv,65.341,27.384,133
american_football_harmonic.mkv,65.247,26.052,134
american_football_harmonic.mkv,65.339,27.581,135
american_football_harmonic.mkv,64.641,27.862,136
american_football_harmonic.mkv,62.496,29.213,137
american_football_harmonic.mkv,61.867,29.209,138
american_football_harmonic.mkv,63.181,28.667,139
american_football_harmonic.mkv,63.665,29.1,140
american_football_harmonic.mkv,63.354,29.87,141
american_football_harmonic.mkv,61.7,29.067,142
american_football_harmonic.mkv,61.445,29.686,143
american_football_harmonic.mkv,62.711,29.598,144
american_football_harmonic.mkv,65.233,28.32,145
american_football_harmonic.mkv,65.353,29.582,146
american_football_harmonic.mkv,65.266,27.827,147
american_football_harmonic.mkv,65.68,28.913,148
american_football_harmonic.mkv,65.486,30.017,149
american_football_harmonic.mkv,65.598,29.164,150
american_football_harmonic.mkv,65.457,25.278,151
american_football_harmonic.mkv,65.745,25.679,152
american_football_harmonic.mkv,65.193,24.633,153
american_football_harmonic.mkv,64.988,26.547,154
american_football_harmonic.mkv,64.786,26.662,155
american_football_harmonic.mkv,64.854,28.089,156
american_football_harmonic.mkv,64.431,26.392,157
american_football_harmonic.mkv,63.312,27.202,158
american_football_harmonic.mkv,63.192,26.873,159
american_football_harmonic.mkv,62.364,27.347,160
american_football_harmonic.mkv,61.888,26.101,161
american_football_harmonic.mkv,61.514,26.882,162
american_football_harmonic.mkv,61.834,27.596,163
american_football_harmonic.mkv,61.76,27.282,164
american_football_harmonic.mkv,61.892,28.161,165
american_football_harmonic.mkv,61.039,26.537,166
american_football_harmonic.mkv,60.784,28.163,167
american_football_harmonic.mkv,61.474,27.789,168
american_football_harmonic.mkv,63.814,27.887,169
american_football_harmonic.mkv,64.673,27.641,170
american_football_harmonic.mkv,64.661,28.539,171
american_football_harmonic.mkv,64.25,28.372,172
american_football_harmonic.mkv,63.586,27.848,173
american_football_harmonic.mkv,62.839,28.11,174
american_football_harmonic.mkv,62.3,28.558,175
american_football_harmonic.mkv,62.84,26.87,176
american_football_harmonic.mkv,62.111,28.273,177
american_football_harmonic.mkv,59.772,27.597,178
american_football_harmonic.mkv,57.707,28.16,179
american_football_harmonic.mkv,56.983,27.45,180
american_football_harmonic.mkv,57.067,27.737,181
american_football_harmonic.mkv,56.897,28.08,182
american_football_harmonic.mkv,57.043,28.007,183
american_football_harmonic.mkv,56.889,28.413,184
american_football_harmonic.mkv,56.284,29.026,185
american_football_harmonic.mkv,56.36,29.393,186
american_football_harmonic.mkv,56.536,29.45,187
american_football_harmonic.mkv,57.1,29.146,188
american_football_harmonic.mkv,56.269,28.804,189
american_football_harmonic.mkv,55.143,28.457,190
american_football_harmonic.mkv,54.893,28.828,191
american_football_harmonic.mkv,54.83,28.766,192
american_football_harmonic.mkv,54.746,28.336,193
american_football_harmonic.mkv,53.15,28.382,194
american_football_harmonic.mkv,51.185,27.989,195
american_football_harmonic.mkv,50.182,28.134,196
american_football_harmonic.mkv,49.732,28.954,197
american_football_harmonic.mkv,49.024,28.587,198
american_football_harmonic.mkv,48.31,29.094,199
american_football_harmonic.mkv,47.486,29.193,200
american_football_harmonic.mkv,46.973,29.349,201
american_football_harmonic.mkv,46.614,28.942,202
american_football_harmonic.mkv,45.869,29.11,203
american_football_harmonic.mkv,45.431,28.952,204
american_football_harmonic.mkv,44.902,28.812,205
american_football_harmonic.mkv,44.692,29.148,206
american_football_harmonic.mkv,44.418,29.477,207
american_football_harmonic.mkv,44.183,29.703,208
american_football_harmonic.mkv,43.888,30.296,209
american_football_harmonic.mkv,43.626,29.925,210
american_football_harmonic.mkv,43.314,30.388,211
american_football_harmonic.mkv,43.859,29.588,212
american_football_harmonic.mkv,43.728,31.403,213
american_football_harmonic.mkv,43.381,30.181,214
american_football_harmonic.mkv,43.103,32.042,215
american_football_harmonic.mkv,43.32,31.728,216
american_football_harmonic.mkv,43.307,32.267,217
american_football_harmonic.mkv,43.059,32.628,218
american_football_harmonic.mkv,42.918,33.416,219
american_football_harmonic.mkv,42.622,33.1,220
american_football_harmonic.mkv,42.441,33.095,221
american_football_harmonic.mkv,42.223,33.339,222
american_football_harmonic.mkv,42.905,33.74,223
american_football_harmonic.mkv,43.492,34.228,224
american_football_harmonic.mkv,44.061,32.794,225
american_football_harmonic.mkv,44.229,33.633,226
american_football_harmonic.mkv,44.71,33.953,227
american_football_harmonic.mkv,44.433,34.067,228
american_football_harmonic.mkv,44.358,34.174,229
american_football_harmonic.mkv,43.964,34.453,230
american_football_harmonic.mkv,44.256,34.115,231
american_football_harmonic.mkv,45.084,34.079,232
american_football_harmonic.mkv,45.79,34.118,233
