input_file,si,ti,n
bigbuck_bunny_8bit.mkv,27.18,0.0,1
bigbuck_bunny_8bit.mkv,26.893,8.489,2
bigbuck_bunny_8bit.mkv,26.754,9.503,3
bigbuck_bunny_8bit.mkv,26.644,9.797,4
bigbuck_bunny_8bit.mkv,26.673,8.987,5
bigbuck_bunny_8bit.mkv,26.871,8.377,6
bigbuck_bunny_8bit.mkv,27.206,7.392,7
bigbuck_bunny_8bit.mkv,27.099,6.56,8
bigbuck_bunny_8bit.mkv,26.994,7.041,9
bigbuck_bunny_8bit.mkv,27.009,8.109,10
bigbuck_bunny_8bit.mkv,27.293,9.477,11
bigbuck_bunny_8bit.mkv,27.559,7.689,12
bigbuck_bunny_8bit.mkv,27.534,7.089,13
bigbuck_bunny_8bit.mkv,27.383,6.923,14
bigbuck_bunny_8bit.mkv,27.248,6.522,15
bigbuck_bunny_8bit.mkv,27.064,7.854,16
bigbuck_bunny_8bit.mkv,26.949,7.267,17
bigbuck_bunny_8bit.mkv,26.984,5.888,18
bigbuck_bunny_8bit.mkv,27.194,5.698,19
bigbuck_bunny_8bit.mkv,27.231,4.603,20
bigbuck_bunny_8bit.mkv,27.144,4.002,21
bigbuck_bunny_8bit.mkv,27.131,5.608,22
bigbuck_bunny_8bit.mkv,27.245,7.273,23
bigbuck_bunny_8bit.mkv,27.589,7.563,24
bigbuck_bunny_8bit.mkv,27.706,5.911,25
bigbuck_bunny_8bit.mkv,27.731,6.023,26
bigbuck_bunny_8bit.mkv,27.452,5.875,27
bigbuck_bunny_8bit.mkv,27.466,7.196,28
bigbuck_bunny_8bit.mkv,27.108,7.319,29
bigbuck_bunny_8bit.mkv,27.013,5.75,30
bigbuck_bunny_8bit.mkv,27.078,5.108,31
bigbuck_bunny_8bit.mkv,27.167,4.508,32
bigbuck_bunny_8bit.mkv,27.163,3.523,33
bigbuck_bunny_8bit.mkv,27.184,3.722,34
bigbuck_bunny_8bit.mkv,27.238,5.383,35
bigbuck_bunny_8bit.mkv,27.528,8.094,36
bigbuck_bunny_8bit.mkv,27.956,7.297,37
bigbuck_bunny_8bit.mkv,28.005,6.476,38
bigbuck_bunny_8bit.mkv,27.866,6.831,39
bigbuck_bunny_8bit.mkv,27.655,5.796,40
bigbuck_bunny_8bit.mkv,27.462,7.835,41
bigbuck_bunny_8bit.mkv,26.968,6.961,42
bigbuck_bunny_8bit.mkv,26.963,4.928,43
bigbuck_bunny_8bit.mkv,27.031,4.546,44
bigbuck_bunny_8bit.mkv,27.049,3.968,45
bigbuck_bunny_8bit.mkv,27.089,3.745,46
