input_file,si,ti,n
cutting_orange_tuil_8s.mkv,22.646,0.0,1
cutting_orange_tuil_8s.mkv,22.514,2.764,2
cutting_orange_tuil_8s.mkv,22.438,2.732,3
cutting_orange_tuil_8s.mkv,22.385,2.814,4
cutting_orange_tuil_8s.mkv,22.288,2.987,5
cutting_orange_tuil_8s.mkv,22.257,2.774,6
cutting_orange_tuil_8s.mkv,22.214,2.546,7
cutting_orange_tuil_8s.mkv,22.14,2.669,8
cutting_orange_tuil_8s.mkv,22.08,3.268,9
cutting_orange_tuil_8s.mkv,21.949,3.567,10
cutting_orange_tuil_8s.mkv,21.803,3.912,11
cutting_orange_tuil_8s.mkv,21.76,3.7,12
cutting_orange_tuil_8s.mkv,21.726,3.757,13
cutting_orange_tuil_8s.mkv,21.729,3.558,14
cutting_orange_tuil_8s.mkv,21.781,2.619,15
cutting_orange_tuil_8s.mkv,21.803,2.338,16
cutting_orange_tuil_8s.mkv,21.821,4.373,17
cutting_orange_tuil_8s.mkv,21.897,5.556,18
cutting_orange_tuil_8s.mkv,21.979,6.832,19
cutting_orange_tuil_8s.mkv,22.05,6.558,20
cutting_orange_tuil_8s.mkv,22.178,5.02,21
cutting_orange_tuil_8s.mkv,22.24,3.927,22
cutting_orange_tuil_8s.mkv,22.259,3.674,23
cutting_orange_tuil_8s.mkv,22.319,4.052,24
cutting_orange_tuil_8s.mkv,22.333,4.72,25
cutting_orange_tuil_8s.mkv,22.108,5.333,26
cutting_orange_tuil_8s.mkv,21.862,5.66,27
cutting_orange_tuil_8s.mkv,21.834,5.201,28
cutting_orange_tuil_8s.mkv,21.78,5.556,29
cutting_orange_tuil_8s.mkv,21.626,5.593,30
cutting_orange_tuil_8s.mkv,21.415,6.434,31
cutting_orange_tuil_8s.mkv,21.271,7.962,32
cutting_orange_tuil_8s.mkv,21.374,7.472,33
cutting_orange_tuil_8s.mkv,21.605,8.686,34
cutting_orange_tuil_8s.mkv,21.633,9.083,35
cutting_orange_tuil_8s.mkv,21.593,9.704,36
cutting_orange_tuil_8s.mkv,21.599,10.308,37
cutting_orange_tuil_8s.mkv,21.478,10.615,38
cutting_orange_tuil_8s.mkv,21.442,10.062,39
cutting_orange_tuil_8s.mkv,21.431,9.174,40
cutting_orange_tuil_8s.mkv,21.398,9.625,41
cutting_orange_tuil_8s.mkv,21.66,9.55,42
cutting_orange_tuil_8s.mkv,21.88,9.829,43
cutting_orange_tuil_8s.mkv,22.114,11.087,44
cutting_orange_tuil_8s.mkv,22.601,9.449,45
cutting_orange_tuil_8s.mkv,22.632,8.611,46
cutting_orange_tuil_8s.mkv,22.627,7.207,47
cutting_orange_tuil_8s.mkv,22.609,7.284,48
cutting_orange_tuil_8s.mkv,22.653,6.167,49
cutting_orange_tuil_8s.mkv,22.663,4.007,50
