input_file,si,ti,n
cutting_orange_tuil.mkv,0.0,0.0,1
cutting_orange_tuil.mkv,2.294,3.825,2
cutting_orange_tuil.mkv,4.08,3.743,3
cutting_orange_tuil.mkv,5.983,3.789,4
cutting_orange_tuil.mkv,7.902,3.772,5
cutting_orange_tuil.mkv,9.873,3.798,6
cutting_orange_tuil.mkv,11.834,3.869,7
cutting_orange_tuil.mkv,13.841,3.779,8
cutting_orange_tuil.mkv,15.802,3.919,9
cutting_orange_tuil.mkv,17.763,3.967,10
cutting_orange_tuil.mkv,19.765,3.874,11
cutting_orange_tuil.mkv,21.752,3.866,12
cutting_orange_tuil.mkv,23.24,4.129,13
cutting_orange_tuil.mkv,23.235,1.415,14
cutting_orange_tuil.mkv,23.241,1.385,15
cutting_orange_tuil.mkv,23.218,1.434,16
cutting_orange_tuil.mkv,23.219,1.365,17
cutting_orange_tuil.mkv,23.228,1.379,18
cutting_orange_tuil.mkv,23.213,1.393,19
cutting_orange_tuil.mkv,23.206,1.367,20
cutting_orange_tuil.mkv,23.233,1.353,21
cutting_orange_tuil.mkv,23.232,1.358,22
cutting_orange_tuil.mkv,23.203,1.404,23
cutting_orange_tuil.mkv,23.218,1.385,24
cutting_orange_tuil.mkv,23.206,1.369,25
cutting_orange_tuil.mkv,23.207,1.376,26
cutting_orange_tuil.mkv,23.228,1.359,27
cutting_orange_tuil.mkv,23.227,1.346,28
cutting_orange_tuil.mkv,23.206,1.367,29
cutting_orange_tuil.mkv,23.225,1.36,30
cutting_orange_tuil.mkv,23.21,1.352,31
cutting_orange_tuil.mkv,23.205,1.361,32
cutting_orange_tuil.mkv,23.235,1.351,33
cutting_orange_tuil.mkv,23.221,1.357,34
cutting_orange_tuil.mkv,23.216,1.37,35
cutting_orange_tuil.mkv,23.235,1.344,36
cutting_orange_tuil.mkv,23.231,1.352,37
cutting_orange_tuil.mkv,23.214,1.352,38
cutting_orange_tuil.mkv,23.242,1.355,39
cutting_orange_tuil.mkv,23.231,1.386,40
cutting_orange_tuil.mkv,23.219,1.373,41
cutting_orange_tuil.mkv,23.234,1.42,42
cutting_orange_tuil.mkv,23.223,1.349,43
cutting_orange_tuil.mkv,23.223,1.413,44
cutting_orange_tuil.mkv,23.237,1.376,45
cutting_orange_tuil.mkv,23.225,1.356,46
cutting_orange_tuil.mkv,23.216,1.392,47
cutting_orange_tuil.mkv,23.227,1.35,48
cutting_orange_tuil.mkv,23.218,1.36,49
cutting_orange_tuil.mkv,23.216,1.359,50
cutting_orange_tuil.mkv,23.221,1.362,51
cutting_orange_tuil.mkv,23.211,1.348,52
cutting_orange_tuil.mkv,23.205,1.378,53
cutting_orange_tuil.mkv,23.223,1.36,54
cutting_orange_tuil.mkv,23.206,1.374,55
cutting_orange_tuil.mkv,23.202,1.406,56
cutting_orange_tuil.mkv,23.209,1.409,57
cutting_orange_tuil.mkv,23.183,1.383,58
cutting_orange_tuil.mkv,23.174,1.681,59
cutting_orange_tuil.mkv,23.189,1.42,60
cutting_orange_tuil.mkv,23.188,1.496,61
cutting_orange_tuil.mkv,23.19,1.411,62
cutting_orange_tuil.mkv,23.169,1.49,63
cutting_orange_tuil.mkv,23.199,1.434,64
cutting_orange_tuil.mkv,23.195,1.351,65
cutting_orange_tuil.mkv,23.216,1.343,66
cutting_orange_tuil.mkv,23.212,1.376,67
cutting_orange_tuil.mkv,23.203,1.352,68
cutting_orange_tuil.mkv,23.195,1.403,69
cutting_orange_tuil.mkv,23.202,1.348,70
