input_file,si,ti,n
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.35,0.0,1
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.501,25.877,2
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.585,25.523,3
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.861,27.205,4
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.937,26.794,5
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,94.958,26.41,6
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,95.33,27.695,7
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,95.816,27.489,8
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,95.926,26.526,9
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,96.749,27.979,10
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,97.341,27.591,11
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,98.084,26.738,12
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,99.654,28.379,13
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,100.976,27.927,14
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,102.062,27.335,15
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,103.492,29.088,16
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,104.44,28.282,17
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,105.315,27.445,18
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,106.356,28.959,19
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,106.803,28.178,20
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,107.252,27.103,21
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,107.732,28.456,22
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,108.03,27.537,23
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,108.378,26.538,24
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,108.709,27.911,25
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,108.977,27.063,26
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,109.305,26.256,27
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,109.341,27.525,28
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,109.53,26.583,29
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,109.512,25.761,30
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,109.989,27.14,31
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,110.285,26.262,32
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,110.477,25.522,33
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,110.426,27.195,34
fr-041_debris_3840x2160_60p_422_ffvhuff_4_8s.mkv,110.586,26.379,35
