input_file,si,ti,n
monkeys_harmonic_0_cropped_8s.mkv,47.379,0.0,1
monkeys_harmonic_0_cropped_8s.mkv,47.183,7.538,2
monkeys_harmonic_0_cropped_8s.mkv,47.063,7.609,3
monkeys_harmonic_0_cropped_8s.mkv,46.948,7.274,4
monkeys_harmonic_0_cropped_8s.mkv,46.74,7.462,5
monkeys_harmonic_0_cropped_8s.mkv,46.541,7.912,6
monkeys_harmonic_0_cropped_8s.mkv,46.34,8.333,7
monkeys_harmonic_0_cropped_8s.mkv,46.385,9.349,8
monkeys_harmonic_0_cropped_8s.mkv,46.184,9.35,9
monkeys_harmonic_0_cropped_8s.mkv,45.866,9.751,10
monkeys_harmonic_0_cropped_8s.mkv,45.897,10.072,11
monkeys_harmonic_0_cropped_8s.mkv,46.011,10.158,12
monkeys_harmonic_0_cropped_8s.mkv,46.095,11.209,13
monkeys_harmonic_0_cropped_8s.mkv,46.502,11.591,14
monkeys_harmonic_0_cropped_8s.mkv,46.237,12.132,15
monkeys_harmonic_0_cropped_8s.mkv,46.148,13.054,16
monkeys_harmonic_0_cropped_8s.mkv,45.918,12.983,17
monkeys_harmonic_0_cropped_8s.mkv,45.773,13.188,18
monkeys_harmonic_0_cropped_8s.mkv,45.591,13.294,19
monkeys_harmonic_0_cropped_8s.mkv,45.428,13.858,20
monkeys_harmonic_0_cropped_8s.mkv,45.332,13.537,21
monkeys_harmonic_0_cropped_8s.mkv,45.462,13.623,22
monkeys_harmonic_0_cropped_8s.mkv,45.691,13.856,23
monkeys_harmonic_0_cropped_8s.mkv,45.94,12.679,24
monkeys_harmonic_0_cropped_8s.mkv,46.42,12.103,25
monkeys_harmonic_0_cropped_8s.mkv,46.847,11.236,26
monkeys_harmonic_0_cropped_8s.mkv,47.263,11.812,27
monkeys_harmonic_0_cropped_8s.mkv,47.865,11.363,28
monkeys_harmonic_0_cropped_8s.mkv,48.647,12.069,29
monkeys_harmonic_0_cropped_8s.mkv,48.888,11.061,30
monkeys_harmonic_0_cropped_8s.mkv,49.346,10.682,31
monkeys_harmonic_0_cropped_8s.mkv,49.857,10.114,32
monkeys_harmonic_0_cropped_8s.mkv,50.23,9.697,33
monkeys_harmonic_0_cropped_8s.mkv,50.865,9.964,34
monkeys_harmonic_0_cropped_8s.mkv,51.164,9.443,35
monkeys_harmonic_0_cropped_8s.mkv,50.931,10.115,36
monkeys_harmonic_0_cropped_8s.mkv,51.416,9.749,37
monkeys_harmonic_0_cropped_8s.mkv,51.435,9.781,38
monkeys_harmonic_0_cropped_8s.mkv,51.378,9.988,39
monkeys_harmonic_0_cropped_8s.mkv,51.407,10.023,40
monkeys_harmonic_0_cropped_8s.mkv,51.516,10.491,41
monkeys_harmonic_0_cropped_8s.mkv,51.898,10.952,42
monkeys_harmonic_0_cropped_8s.mkv,51.738,10.957,43
monkeys_harmonic_0_cropped_8s.mkv,52.134,10.383,44
monkeys_harmonic_0_cropped_8s.mkv,52.252,9.76,45
monkeys_harmonic_0_cropped_8s.mkv,52.937,10.994,46
monkeys_harmonic_0_cropped_8s.mkv,52.999,9.367,47
monkeys_harmonic_0_cropped_8s.mkv,53.144,8.974,48
monkeys_harmonic_0_cropped_8s.mkv,53.599,9.394,49
monkeys_harmonic_0_cropped_8s.mkv,53.858,8.871,50
monkeys_harmonic_0_cropped_8s.mkv,54.319,9.982,51
monkeys_harmonic_0_cropped_8s.mkv,54.561,10.843,52
monkeys_harmonic_0_cropped_8s.mkv,55.04,9.677,53
monkeys_harmonic_0_cropped_8s.mkv,55.278,9.64,54
monkeys_harmonic_0_cropped_8s.mkv,55.609,9.204,55
