input_file,si,ti,n
surfing_sony_8bit.mkv,0.0,0.0,1
surfing_sony_8bit.mkv,2.751,4.634,2
surfing_sony_8bit.mkv,4.787,4.828,3
surfing_sony_8bit.mkv,7.04,5.162,4
surfing_sony_8bit.mkv,9.274,5.636,5
surfing_sony_8bit.mkv,11.616,6.207,6
surfing_sony_8bit.mkv,13.842,6.84,7
surfing_sony_8bit.mkv,16.1,7.439,8
surfing_sony_8bit.mkv,18.213,8.199,9
surfing_sony_8bit.mkv,20.549,9.068,10
surfing_sony_8bit.mkv,22.782,9.75,11
surfing_sony_8bit.mkv,25.085,10.567,12
surfing_sony_8bit.mkv,27.196,11.472,13
surfing_sony_8bit.mkv,27.199,10.966,14
surfing_sony_8bit.mkv,27.191,10.829,15
surfing_sony_8bit.mkv,27.145,10.619,16
surfing_sony_8bit.mkv,27.01,10.73,17
surfing_sony_8bit.mkv,27.141,10.866,18
surfing_sony_8bit.mkv,27.338,10.753,19
surfing_sony_8bit.mkv,27.043,10.612,20
surfing_sony_8bit.mkv,27.021,10.815,21
surfing_sony_8bit.mkv,26.862,10.738,22
surfing_sony_8bit.mkv,26.718,10.552,23
surfing_sony_8bit.mkv,26.615,10.593,24
surfing_sony_8bit.mkv,26.637,10.703,25
surfing_sony_8bit.mkv,26.561,10.812,26
surfing_sony_8bit.mkv,26.834,10.643,27
surfing_sony_8bit.mkv,26.884,10.684,28
surfing_sony_8bit.mkv,26.774,10.757,29
surfing_sony_8bit.mkv,27.043,10.958,30
surfing_sony_8bit.mkv,27.214,11.029,31
surfing_sony_8bit.mkv,26.976,11.035,32
surfing_sony_8bit.mkv,26.927,11.039,33
surfing_sony_8bit.mkv,27.169,11.178,34
surfing_sony_8bit.mkv,27.157,11.094,35
surfing_sony_8bit.mkv,26.96,10.932,36
surfing_sony_8bit.mkv,27.01,11.123,37
surfing_sony_8bit.mkv,26.904,11.18,38
surfing_sony_8bit.mkv,27.031,11.079,39
surfing_sony_8bit.mkv,27.014,11.075,40
surfing_sony_8bit.mkv,26.989,10.98,41
surfing_sony_8bit.mkv,26.971,11.063,42
surfing_sony_8bit.mkv,27.138,11.371,43
surfing_sony_8bit.mkv,27.106,11.162,44
surfing_sony_8bit.mkv,27.329,11.264,45
surfing_sony_8bit.mkv,27.25,11.676,46
surfing_sony_8bit.mkv,27.157,11.717,47
surfing_sony_8bit.mkv,27.337,11.398,48
surfing_sony_8bit.mkv,27.174,11.432,49
surfing_sony_8bit.mkv,26.989,11.702,50
surfing_sony_8bit.mkv,26.983,12.051,51
surfing_sony_8bit.mkv,27.082,11.807,52
surfing_sony_8bit.mkv,27.079,11.723,53
surfing_sony_8bit.mkv,26.979,11.777,54
surfing_sony_8bit.mkv,27.072,11.935,55
surfing_sony_8bit.mkv,26.944,11.62,56
surfing_sony_8bit.mkv,26.873,11.727,57
surfing_sony_8bit.mkv,27.014,11.854,58
surfing_sony_8bit.mkv,26.911,12.096,59
surfing_sony_8bit.mkv,27.185,12.303,60
surfing_sony_8bit.mkv,27.22,11.844,61
surfing_sony_8bit.mkv,26.914,11.982,62
surfing_sony_8bit.mkv,26.847,12.377,63
surfing_sony_8bit.mkv,27.156,12.03,64
surfing_sony_8bit.mkv,27.034,12.034,65
surfing_sony_8bit.mkv,27.001,12.456,66
surfing_sony_8bit.mkv,26.954,12.272,67
surfing_sony_8bit.mkv,27.138,12.005,68
surfing_sony_8bit.mkv,31.205,53.091,69
surfing_sony_8bit.mkv,30.903,23.665,70
surfing_sony_8bit.mkv,30.642,23.889,71
surfing_sony_8bit.mkv,30.336,22.082,72
surfing_sony_8bit.mkv,30.634,22.925,73
surfing_sony_8bit.mkv,30.38,23.748,74
surfing_sony_8bit.mkv,29.629,22.063,75
surfing_sony_8bit.mkv,29.164,21.83,76
surfing_sony_8bit.mkv,28.681,20.587,77
surfing_sony_8bit.mkv,28.245,19.898,78
surfing_sony_8bit.mkv,27.671,20.993,79
surfing_sony_8bit.mkv,27.552,20.221,80
surfing_sony_8bit.mkv,27.145,21.791,81
surfing_sony_8bit.mkv,26.871,19.684,82
surfing_sony_8bit.mkv,26.562,18.519,83
surfing_sony_8bit.mkv,26.903,20.096,84
surfing_sony_8bit.mkv,26.651,19.108,85
surfing_sony_8bit.mkv,26.458,19.236,86
surfing_sony_8bit.mkv,26.312,19.518,87
surfing_sony_8bit.mkv,26.922,20.7,88
surfing_sony_8bit.mkv,27.248,21.532,89
surfing_sony_8bit.mkv,27.595,23.084,90
surfing_sony_8bit.mkv,27.975,23.081,91
surfing_sony_8bit.mkv,28.188,23.254,92
surfing_sony_8bit.mkv,28.209,22.57,93
surfing_sony_8bit.mkv,28.974,22.382,94
surfing_sony_8bit.mkv,29.218,23.23,95
surfing_sony_8bit.mkv,29.334,23.396,96
surfing_sony_8bit.mkv,29.816,23.924,97
surfing_sony_8bit.mkv,30.109,25.172,98
surfing_sony_8bit.mkv,30.461,24.527,99
surfing_sony_8bit.mkv,30.981,24.809,100
surfing_sony_8bit.mkv,31.256,25.003,101
surfing_sony_8bit.mkv,31.309,25.146,102
surfing_sony_8bit.mkv,31.609,25.121,103
surfing_sony_8bit.mkv,31.666,23.827,104
surfing_sony_8bit.mkv,31.525,22.684,105
surfing_sony_8bit.mkv,31.271,22.208,106
surfing_sony_8bit.mkv,30.357,21.583,107
surfing_sony_8bit.mkv,29.773,20.25,108
surfing_sony_8bit.mkv,29.24,19.845,109
surfing_sony_8bit.mkv,28.542,19.181,110
surfing_sony_8bit.mkv,27.648,18.07,111
surfing_sony_8bit.mkv,27.184,17.576,112
surfing_sony_8bit.mkv,26.9,17.356,113
surfing_sony_8bit.mkv,26.528,16.847,114
surfing_sony_8bit.mkv,26.338,16.327,115
surfing_sony_8bit.mkv,26.211,16.124,116
surfing_sony_8bit.mkv,26.152,16.026,117
surfing_sony_8bit.mkv,26.132,15.907,118
surfing_sony_8bit.mkv,26.237,15.558,119
surfing_sony_8bit.mkv,25.903,15.089,120
surfing_sony_8bit.mkv,25.987,14.875,121
surfing_sony_8bit.mkv,25.956,14.535,122
surfing_sony_8bit.mkv,25.906,14.207,123
surfing_sony_8bit.mkv,26.149,14.103,124
surfing_sony_8bit.mkv,26.164,14.101,125
surfing_sony_8bit.mkv,25.948,13.873,126
surfing_sony_8bit.mkv,26.527,13.567,127
surfing_sony_8bit.mkv,26.785,13.073,128
surfing_sony_8bit.mkv,27.007,12.997,129
surfing_sony_8bit.mkv,27.477,12.968,130
surfing_sony_8bit.mkv,28.164,12.986,131
surfing_sony_8bit.mkv,28.528,13.115,132
surfing_sony_8bit.mkv,29.111,13.226,133
surfing_sony_8bit.mkv,29.535,13.375,134
surfing_sony_8bit.mkv,29.625,13.516,135
surfing_sony_8bit.mkv,30.411,13.795,136
surfing_sony_8bit.mkv,30.872,13.889,137
surfing_sony_8bit.mkv,31.193,13.917,138
surfing_sony_8bit.mkv,31.967,14.093,139
surfing_sony_8bit.mkv,32.493,14.123,140
surfing_sony_8bit.mkv,32.861,14.178,141
surfing_sony_8bit.mkv,33.897,14.328,142
surfing_sony_8bit.mkv,34.528,12.488,143
surfing_sony_8bit.mkv,33.866,7.606,144
surfing_sony_8bit.mkv,34.19,7.556,145
surfing_sony_8bit.mkv,34.257,7.564,146
surfing_sony_8bit.mkv,34.341,7.662,147
surfing_sony_8bit.mkv,34.456,7.668,148
surfing_sony_8bit.mkv,34.543,7.602,149
surfing_sony_8bit.mkv,34.577,7.651,150
surfing_sony_8bit.mkv,34.638,7.645,151
surfing_sony_8bit.mkv,34.647,7.557,152
surfing_sony_8bit.mkv,34.676,7.642,153
surfing_sony_8bit.mkv,34.715,7.626,154
surfing_sony_8bit.mkv,34.771,7.546,155
surfing_sony_8bit.mkv,34.895,7.636,156
surfing_sony_8bit.mkv,34.975,7.642,157
surfing_sony_8bit.mkv,34.95,7.575,158
