input_file,si,ti,n
vegetables_tuil.mkv,0.0,0.0,1
vegetables_tuil.mkv,1.341,5.013,2
vegetables_tuil.mkv,1.672,5.108,3
vegetables_tuil.mkv,2.058,5.08,4
vegetables_tuil.mkv,2.459,5.05,5
vegetables_tuil.mkv,2.912,5.116,6
vegetables_tuil.mkv,3.336,5.112,7
vegetables_tuil.mkv,3.853,5.059,8
vegetables_tuil.mkv,4.344,5.159,9
vegetables_tuil.mkv,4.834,5.317,10
vegetables_tuil.mkv,5.366,5.4,11
vegetables_tuil.mkv,5.838,5.616,12
vegetables_tuil.mkv,6.198,5.524,13
vegetables_tuil.mkv,6.246,3.309,14
vegetables_tuil.mkv,6.259,3.697,15
vegetables_tuil.mkv,6.237,2.497,16
vegetables_tuil.mkv,6.253,2.693,17
vegetables_tuil.mkv,6.246,2.356,18
vegetables_tuil.mkv,6.251,4.384,19
vegetables_tuil.mkv,6.307,5.537,20
vegetables_tuil.mkv,6.355,5.003,21
vegetables_tuil.mkv,6.376,4.81,22
vegetables_tuil.mkv,6.523,3.236,23
vegetables_tuil.mkv,6.501,1.677,24
vegetables_tuil.mkv,6.486,2.042,25
vegetables_tuil.mkv,6.512,1.312,26
vegetables_tuil.mkv,6.505,1.253,27
vegetables_tuil.mkv,6.491,1.242,28
vegetables_tuil.mkv,6.519,1.254,29
vegetables_tuil.mkv,6.523,1.293,30
vegetables_tuil.mkv,6.515,1.298,31
vegetables_tuil.mkv,6.547,1.349,32
vegetables_tuil.mkv,6.544,1.543,33
vegetables_tuil.mkv,6.476,2.159,34
vegetables_tuil.mkv,6.506,2.547,35
vegetables_tuil.mkv,6.553,2.595,36
vegetables_tuil.mkv,6.578,2.578,37
vegetables_tuil.mkv,6.64,2.293,38
vegetables_tuil.mkv,6.753,1.56,39
vegetables_tuil.mkv,6.701,1.459,40
vegetables_tuil.mkv,6.704,2.592,41
vegetables_tuil.mkv,6.767,2.62,42
vegetables_tuil.mkv,6.767,2.063,43
vegetables_tuil.mkv,6.825,2.206,44
vegetables_tuil.mkv,6.882,2.551,45
vegetables_tuil.mkv,6.847,2.573,46
vegetables_tuil.mkv,6.832,2.429,47
vegetables_tuil.mkv,6.873,2.139,48
vegetables_tuil.mkv,6.925,1.646,49
vegetables_tuil.mkv,6.989,1.424,50
vegetables_tuil.mkv,6.989,1.456,51
vegetables_tuil.mkv,7.001,1.295,52
vegetables_tuil.mkv,6.987,1.374,53
vegetables_tuil.mkv,6.942,2.125,54
vegetables_tuil.mkv,7.007,2.209,55
vegetables_tuil.mkv,7.14,1.686,56
vegetables_tuil.mkv,7.059,1.963,57
vegetables_tuil.mkv,6.862,4.006,58
vegetables_tuil.mkv,6.816,5.863,59
vegetables_tuil.mkv,6.776,6.975,60
vegetables_tuil.mkv,6.815,7.356,61
vegetables_tuil.mkv,6.854,7.058,62
vegetables_tuil.mkv,7.014,6.902,63
vegetables_tuil.mkv,6.863,7.325,64
vegetables_tuil.mkv,6.712,9.538,65
vegetables_tuil.mkv,6.581,11.592,66
vegetables_tuil.mkv,6.509,13.393,67
vegetables_tuil.mkv,6.589,14.854,68
vegetables_tuil.mkv,6.758,15.118,69
vegetables_tuil.mkv,6.859,15.189,70
vegetables_tuil.mkv,7.403,16.628,71
vegetables_tuil.mkv,7.391,16.053,72
vegetables_tuil.mkv,8.37,15.224,73
vegetables_tuil.mkv,8.393,14.425,74
vegetables_tuil.mkv,8.709,14.063,75
vegetables_tuil.mkv,8.682,13.721,76
vegetables_tuil.mkv,9.16,11.749,77
vegetables_tuil.mkv,9.456,10.399,78
vegetables_tuil.mkv,10.217,9.516,79
vegetables_tuil.mkv,12.517,7.832,80
vegetables_tuil.mkv,13.066,6.995,81
vegetables_tuil.mkv,13.378,7.564,82
vegetables_tuil.mkv,13.156,7.904,83
vegetables_tuil.mkv,13.077,6.292,84
vegetables_tuil.mkv,13.143,6.452,85
vegetables_tuil.mkv,13.124,7.892,86
vegetables_tuil.mkv,13.312,9.871,87
vegetables_tuil.mkv,13.341,9.318,88
vegetables_tuil.mkv,13.393,8.013,89
vegetables_tuil.mkv,13.401,6.531,90
vegetables_tuil.mkv,13.369,5.387,91
vegetables_tuil.mkv,13.331,3.685,92
vegetables_tuil.mkv,13.34,3.274,93
vegetables_tuil.mkv,13.393,3.214,94
vegetables_tuil.mkv,13.363,2.909,95
vegetables_tuil.mkv,13.351,2.8,96
vegetables_tuil.mkv,13.351,2.556,97
vegetables_tuil.mkv,13.335,2.756,98
vegetables_tuil.mkv,13.33,2.701,99
vegetables_tuil.mkv,13.339,2.445,100
vegetables_tuil.mkv,13.319,2.163,101
vegetables_tuil.mkv,13.339,1.862,102
vegetables_tuil.mkv,13.35,1.915,103
vegetables_tuil.mkv,13.345,1.942,104
vegetables_tuil.mkv,13.352,1.596,105
vegetables_tuil.mkv,13.347,1.486,106
vegetables_tuil.mkv,13.331,1.476,107
vegetables_tuil.mkv,13.33,1.413,108
vegetables_tuil.mkv,13.344,1.377,109
vegetables_tuil.mkv,13.323,1.413,110
vegetables_tuil.mkv,13.335,1.378,111
vegetables_tuil.mkv,13.32,1.37,112
vegetables_tuil.mkv,13.316,1.4,113
vegetables_tuil.mkv,13.324,1.381,114
vegetables_tuil.mkv,13.329,1.362,115
vegetables_tuil.mkv,13.321,1.396,116
vegetables_tuil.mkv,13.329,1.368,117
vegetables_tuil.mkv,13.338,1.371,118
vegetables_tuil.mkv,13.327,1.406,119
vegetables_tuil.mkv,13.332,1.376,120
vegetables_tuil.mkv,13.33,1.372,121
vegetables_tuil.mkv,13.322,1.397,122
vegetables_tuil.mkv,13.314,1.39,123
vegetables_tuil.mkv,13.323,1.427,124
vegetables_tuil.mkv,13.347,1.447,125
vegetables_tuil.mkv,13.356,1.421,126
vegetables_tuil.mkv,13.361,1.414,127
vegetables_tuil.mkv,13.332,1.476,128
vegetables_tuil.mkv,13.349,1.426,129
vegetables_tuil.mkv,13.343,1.409,130
vegetables_tuil.mkv,13.337,1.425,131
vegetables_tuil.mkv,13.329,1.412,132
vegetables_tuil.mkv,13.335,1.402,133
vegetables_tuil.mkv,13.351,1.416,134
vegetables_tuil.mkv,13.347,1.38,135
vegetables_tuil.mkv,13.356,1.377,136
vegetables_tuil.mkv,13.351,1.416,137
vegetables_tuil.mkv,13.354,1.407,138
vegetables_tuil.mkv,13.361,1.38,139
vegetables_tuil.mkv,13.358,1.423,140
vegetables_tuil.mkv,13.338,1.383,141
vegetables_tuil.mkv,13.347,1.371,142
vegetables_tuil.mkv,13.332,1.414,143
vegetables_tuil.mkv,13.329,1.384,144
