input_file,si,ti,n
venice_harmonic_2_cropped_8s.mkv,30.804,0.0,1
venice_harmonic_2_cropped_8s.mkv,30.885,13.289,2
venice_harmonic_2_cropped_8s.mkv,31.044,13.278,3
venice_harmonic_2_cropped_8s.mkv,31.212,13.263,4
venice_harmonic_2_cropped_8s.mkv,31.344,13.198,5
venice_harmonic_2_cropped_8s.mkv,31.347,13.095,6
venice_harmonic_2_cropped_8s.mkv,31.408,13.033,7
venice_harmonic_2_cropped_8s.mkv,31.563,12.823,8
venice_harmonic_2_cropped_8s.mkv,31.652,12.754,9
venice_harmonic_2_cropped_8s.mkv,31.646,12.562,10
venice_harmonic_2_cropped_8s.mkv,31.64,12.403,11
venice_harmonic_2_cropped_8s.mkv,31.717,12.248,12
venice_harmonic_2_cropped_8s.mkv,31.798,12.04,13
venice_harmonic_2_cropped_8s.mkv,31.73,11.823,14
venice_harmonic_2_cropped_8s.mkv,31.684,11.532,15
venice_harmonic_2_cropped_8s.mkv,31.737,11.366,16
venice_harmonic_2_cropped_8s.mkv,31.791,11.274,17
venice_harmonic_2_cropped_8s.mkv,31.826,10.985,18
venice_harmonic_2_cropped_8s.mkv,31.828,10.85,19
venice_harmonic_2_cropped_8s.mkv,31.83,10.63,20
venice_harmonic_2_cropped_8s.mkv,31.897,10.491,21
venice_harmonic_2_cropped_8s.mkv,31.989,10.362,22
venice_harmonic_2_cropped_8s.mkv,32.055,10.214,23
venice_harmonic_2_cropped_8s.mkv,32.117,10.117,24
venice_harmonic_2_cropped_8s.mkv,32.174,9.939,25
venice_harmonic_2_cropped_8s.mkv,32.141,9.843,26
venice_harmonic_2_cropped_8s.mkv,32.105,9.679,27
venice_harmonic_2_cropped_8s.mkv,32.082,9.54,28
venice_harmonic_2_cropped_8s.mkv,32.062,9.452,29
venice_harmonic_2_cropped_8s.mkv,32.049,9.308,30
venice_harmonic_2_cropped_8s.mkv,32.041,9.17,31
venice_harmonic_2_cropped_8s.mkv,31.99,9.07,32
venice_harmonic_2_cropped_8s.mkv,31.981,8.937,33
venice_harmonic_2_cropped_8s.mkv,32.0,8.812,34
venice_harmonic_2_cropped_8s.mkv,32.035,8.752,35
venice_harmonic_2_cropped_8s.mkv,32.023,8.654,36
venice_harmonic_2_cropped_8s.mkv,32.07,8.483,37
venice_harmonic_2_cropped_8s.mkv,32.134,8.484,38
venice_harmonic_2_cropped_8s.mkv,32.225,8.517,39
venice_harmonic_2_cropped_8s.mkv,32.272,8.466,40
venice_harmonic_2_cropped_8s.mkv,32.33,8.467,41
venice_harmonic_2_cropped_8s.mkv,32.36,8.494,42
venice_harmonic_2_cropped_8s.mkv,32.35,8.402,43
venice_harmonic_2_cropped_8s.mkv,32.415,8.355,44
venice_harmonic_2_cropped_8s.mkv,32.518,8.316,45
venice_harmonic_2_cropped_8s.mkv,32.589,8.439,46
venice_harmonic_2_cropped_8s.mkv,32.631,8.445,47
venice_harmonic_2_cropped_8s.mkv,32.735,8.421,48
venice_harmonic_2_cropped_8s.mkv,32.776,8.485,49
venice_harmonic_2_cropped_8s.mkv,32.792,8.42,50
venice_harmonic_2_cropped_8s.mkv,32.828,8.479,51
venice_harmonic_2_cropped_8s.mkv,32.847,8.562,52
venice_harmonic_2_cropped_8s.mkv,32.881,8.583,53
venice_harmonic_2_cropped_8s.mkv,32.89,8.66,54
venice_harmonic_2_cropped_8s.mkv,32.905,8.632,55
venice_harmonic_2_cropped_8s.mkv,32.938,8.675,56
venice_harmonic_2_cropped_8s.mkv,32.928,8.743,57
venice_harmonic_2_cropped_8s.mkv,32.939,8.681,58
venice_harmonic_2_cropped_8s.mkv,32.958,8.622,59
venice_harmonic_2_cropped_8s.mkv,32.944,8.608,60
venice_harmonic_2_cropped_8s.mkv,32.94,8.576,61
venice_harmonic_2_cropped_8s.mkv,32.949,8.606,62
venice_harmonic_2_cropped_8s.mkv,32.942,8.557,63
venice_harmonic_2_cropped_8s.mkv,32.931,8.628,64
venice_harmonic_2_cropped_8s.mkv,32.935,8.536,65
venice_harmonic_2_cropped_8s.mkv,32.944,8.55,66
venice_harmonic_2_cropped_8s.mkv,32.953,8.518,67
venice_harmonic_2_cropped_8s.mkv,32.946,8.494,68
venice_harmonic_2_cropped_8s.mkv,32.901,8.445,69
venice_harmonic_2_cropped_8s.mkv,32.857,8.382,70
venice_harmonic_2_cropped_8s.mkv,32.809,8.327,71
venice_harmonic_2_cropped_8s.mkv,32.791,8.307,72
venice_harmonic_2_cropped_8s.mkv,32.738,8.273,73
venice_harmonic_2_cropped_8s.mkv,32.626,8.26,74
venice_harmonic_2_cropped_8s.mkv,32.54,8.134,75
venice_harmonic_2_cropped_8s.mkv,32.537,8.017,76
venice_harmonic_2_cropped_8s.mkv,32.515,8.035,77
venice_harmonic_2_cropped_8s.mkv,32.516,8.057,78
venice_harmonic_2_cropped_8s.mkv,32.466,7.961,79
venice_harmonic_2_cropped_8s.mkv,32.441,7.913,80
venice_harmonic_2_cropped_8s.mkv,32.444,7.845,81
venice_harmonic_2_cropped_8s.mkv,32.416,7.768,82
venice_harmonic_2_cropped_8s.mkv,32.414,7.727,83
venice_harmonic_2_cropped_8s.mkv,32.405,7.787,84
venice_harmonic_2_cropped_8s.mkv,32.405,7.848,85
venice_harmonic_2_cropped_8s.mkv,32.417,7.798,86
venice_harmonic_2_cropped_8s.mkv,32.428,7.702,87
venice_harmonic_2_cropped_8s.mkv,32.406,7.7,88
venice_harmonic_2_cropped_8s.mkv,32.422,7.668,89
venice_harmonic_2_cropped_8s.mkv,32.461,7.584,90
venice_harmonic_2_cropped_8s.mkv,32.481,7.586,91
venice_harmonic_2_cropped_8s.mkv,32.518,7.497,92
venice_harmonic_2_cropped_8s.mkv,32.567,7.469,93
venice_harmonic_2_cropped_8s.mkv,32.613,7.572,94
venice_harmonic_2_cropped_8s.mkv,32.65,7.595,95
venice_harmonic_2_cropped_8s.mkv,32.652,7.562,96
venice_harmonic_2_cropped_8s.mkv,32.674,7.477,97
venice_harmonic_2_cropped_8s.mkv,32.689,7.603,98
venice_harmonic_2_cropped_8s.mkv,32.649,7.698,99
venice_harmonic_2_cropped_8s.mkv,32.626,7.672,100
venice_harmonic_2_cropped_8s.mkv,32.611,7.668,101
venice_harmonic_2_cropped_8s.mkv,32.596,7.622,102
venice_harmonic_2_cropped_8s.mkv,32.61,7.591,103
venice_harmonic_2_cropped_8s.mkv,32.589,7.679,104
venice_harmonic_2_cropped_8s.mkv,32.56,7.76,105
venice_harmonic_2_cropped_8s.mkv,32.562,7.701,106
venice_harmonic_2_cropped_8s.mkv,32.573,7.815,107
venice_harmonic_2_cropped_8s.mkv,32.559,7.967,108
venice_harmonic_2_cropped_8s.mkv,32.523,8.003,109
venice_harmonic_2_cropped_8s.mkv,32.522,7.972,110
venice_harmonic_2_cropped_8s.mkv,32.486,7.949,111
venice_harmonic_2_cropped_8s.mkv,32.448,8.166,112
