input_file,si,ti,n
water_netflix_8s.mkv,28.85,0.0,1
water_netflix_8s.mkv,28.972,9.486,2
water_netflix_8s.mkv,28.897,9.514,3
water_netflix_8s.mkv,28.966,9.481,4
water_netflix_8s.mkv,28.94,9.475,5
water_netflix_8s.mkv,29.034,9.503,6
water_netflix_8s.mkv,29.112,9.502,7
water_netflix_8s.mkv,29.111,9.515,8
water_netflix_8s.mkv,29.116,9.493,9
water_netflix_8s.mkv,29.029,9.541,10
water_netflix_8s.mkv,28.953,9.54,11
water_netflix_8s.mkv,29.094,9.557,12
water_netflix_8s.mkv,28.999,9.576,13
water_netflix_8s.mkv,29.014,9.587,14
water_netflix_8s.mkv,28.871,9.589,15
water_netflix_8s.mkv,28.885,9.637,16
water_netflix_8s.mkv,28.748,9.678,17
water_netflix_8s.mkv,28.741,9.73,18
water_netflix_8s.mkv,28.701,9.753,19
water_netflix_8s.mkv,28.704,9.718,20
water_netflix_8s.mkv,28.529,9.617,21
water_netflix_8s.mkv,28.61,9.553,22
water_netflix_8s.mkv,28.553,9.583,23
water_netflix_8s.mkv,28.511,9.602,24
water_netflix_8s.mkv,28.416,9.584,25
water_netflix_8s.mkv,28.455,9.63,26
water_netflix_8s.mkv,28.271,9.596,27
water_netflix_8s.mkv,28.202,9.531,28
water_netflix_8s.mkv,28.04,9.514,29
water_netflix_8s.mkv,27.981,9.538,30
water_netflix_8s.mkv,27.79,9.519,31
water_netflix_8s.mkv,27.743,9.487,32
water_netflix_8s.mkv,27.626,9.472,33
water_netflix_8s.mkv,27.492,9.445,34
water_netflix_8s.mkv,27.382,9.403,35
water_netflix_8s.mkv,27.254,9.384,36
water_netflix_8s.mkv,27.213,9.358,37
water_netflix_8s.mkv,27.052,9.291,38
water_netflix_8s.mkv,27.023,9.267,39
water_netflix_8s.mkv,27.014,9.276,40
water_netflix_8s.mkv,26.865,9.228,41
water_netflix_8s.mkv,26.872,9.29,42
water_netflix_8s.mkv,26.82,9.321,43
water_netflix_8s.mkv,26.857,9.45,44
water_netflix_8s.mkv,26.806,9.48,45
water_netflix_8s.mkv,26.757,9.451,46
