input_file,si,ti,n
water_netflix.mkv,43.829,0.0,1
water_netflix.mkv,43.818,14.744,2
water_netflix.mkv,43.873,14.567,3
water_netflix.mkv,43.77,14.48,4
water_netflix.mkv,43.736,14.479,5
water_netflix.mkv,43.638,14.539,6
water_netflix.mkv,43.81,14.49,7
water_netflix.mkv,43.812,14.306,8
water_netflix.mkv,43.776,14.179,9
water_netflix.mkv,43.833,14.025,10
water_netflix.mkv,43.889,13.782,11
water_netflix.mkv,43.959,13.735,12
water_netflix.mkv,44.081,13.908,13
water_netflix.mkv,44.114,13.923,14
water_netflix.mkv,44.408,14.29,15
water_netflix.mkv,44.569,14.501,16
water_netflix.mkv,44.745,14.739,17
water_netflix.mkv,44.837,15.103,18
water_netflix.mkv,44.968,15.445,19
water_netflix.mkv,45.041,15.569,20
water_netflix.mkv,45.072,15.687,21
water_netflix.mkv,44.988,15.938,22
water_netflix.mkv,44.991,16.007,23
water_netflix.mkv,44.828,16.226,24
water_netflix.mkv,44.956,16.339,25
water_netflix.mkv,45.109,16.682,26
water_netflix.mkv,45.083,16.717,27
water_netflix.mkv,45.146,16.576,28
water_netflix.mkv,45.239,16.436,29
water_netflix.mkv,45.473,16.546,30
water_netflix.mkv,45.488,16.461,31
water_netflix.mkv,45.726,16.592,32
water_netflix.mkv,45.388,16.7,33
water_netflix.mkv,45.436,16.729,34
water_netflix.mkv,45.506,16.954,35
water_netflix.mkv,45.724,17.412,36
water_netflix.mkv,46.388,17.909,37
water_netflix.mkv,46.592,18.26,38
water_netflix.mkv,46.804,18.813,39
water_netflix.mkv,46.879,19.368,40
water_netflix.mkv,45.991,19.939,41
water_netflix.mkv,44.83,19.703,42
water_netflix.mkv,43.585,19.353,43
water_netflix.mkv,42.169,18.794,44
water_netflix.mkv,40.753,18.206,45
water_netflix.mkv,39.596,17.489,46
water_netflix.mkv,38.393,16.674,47
water_netflix.mkv,37.348,16.01,48
water_netflix.mkv,36.195,15.379,49
water_netflix.mkv,35.182,14.789,50
water_netflix.mkv,34.383,14.145,51
water_netflix.mkv,33.716,13.446,52
water_netflix.mkv,33.298,12.95,53
water_netflix.mkv,32.841,12.366,54
water_netflix.mkv,32.658,11.991,55
water_netflix.mkv,32.555,11.673,56
water_netflix.mkv,32.854,11.64,57
water_netflix.mkv,33.321,12.023,58
water_netflix.mkv,33.744,12.322,59
water_netflix.mkv,34.493,12.895,60
water_netflix.mkv,35.334,13.598,61
water_netflix.mkv,36.473,14.473,62
water_netflix.mkv,37.719,15.579,63
water_netflix.mkv,39.328,17.429,64
water_netflix.mkv,39.128,18.286,65
water_netflix.mkv,39.376,19.176,66
water_netflix.mkv,39.961,18.343,67
water_netflix.mkv,39.984,17.769,68
water_netflix.mkv,39.777,18.028,69
water_netflix.mkv,39.908,17.16,70
water_netflix.mkv,39.966,17.37,71
water_netflix.mkv,40.198,17.741,72
water_netflix.mkv,40.357,18.186,73
water_netflix.mkv,40.336,18.738,74
water_netflix.mkv,40.398,18.862,75
water_netflix.mkv,40.447,18.975,76
water_netflix.mkv,40.573,19.213,77
water_netflix.mkv,40.577,19.609,78
